722016 MARATHON AIRPORT       FL  -5  N24 44  W081  3     2  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3850 K6   273  4688 K7   788  1393 K6   145  6829 15205  3.9  3.6  2.68  0.14  23.91  18.28  20.91  22.00  76    20   106  3.9
  2  4654 K6   317  5067 K7   768  1637 K6   165  8009 15830  3.5  3.3  2.66  0.15  24.75  19.03  21.70  22.76  75    10   111  3.7
  3  5771 K6   340  5891 K7   713  1838 K6   170  9389 16554  3.3  3.2  2.72  0.15  26.33  20.50  23.19  24.24  72     4   161  3.9
  4  6485 K6   571  6153 K7  1066  2043 K6   238 10486 17244  3.4  3.1  2.91  0.15  28.08  22.41  25.02  26.11  69     0   208  4.0
  5  6745 K6   514  6064 K7   905  2237 K6   225 11069 17782  3.5  3.1  3.55  0.16  30.05  24.60  27.12  28.05  71     0   279  3.4
  6  6302 K6   573  5303 K7  1004  2335 K6   224 11235 18013  4.4  3.5  4.60  0.16  31.55  26.29  28.72  29.50  73     0   318  2.9
  7  6411 K6   515  5369 K7   876  2369 K6   223 11095 17795  3.7  3.0  4.56  0.18  32.16  26.81  29.29  30.10  73     0   346  2.7
  8  6112 K6   413  5440 K7   725  2124 K6   227 10605 17232  3.8  3.0  4.77  0.15  32.41  26.87  29.47  30.41  74     0   350  2.7
  9  5245 K6   374  4641 K7   784  2033 K6   221  9681 16552  4.6  3.7  4.90  0.15  31.52  26.30  28.73  29.66  76     0   317  3.0
 10  4664 K6   463  4746 K7  1027  1717 K6   199  8379 15857  4.3  3.7  4.18  0.15  29.56  24.85  27.01  27.90  76     0   275  3.9
 11  3930 K6   360  4342 K7   866  1521 K6   145  7090 15245  4.1  3.7  3.24  0.16  26.76  22.01  24.18  25.00  75     1   183  4.2
 12  3502 K6   292  4192 K7   711  1361 K6    96  6434 14952  3.9  3.6  2.87  0.15  24.60  19.51  21.86  22.80  77    10   126  3.9
 13  5306 K6   298  5158 K7   625  1884 K6   152  9192 16522  3.9  3.4  3.64  0.15  28.47  23.12  25.60  26.54  74    46  2779  3.5
 1991
  1  3581 J8   857  3911 J8  2047  1497 J8   379  6823 15200  4.7  4.3  3.33  0.12  25.80  21.25  23.28  24.24  80     0   161  2.9
  2  4835 J8   591  5313 J8  1635  1672 J8   456  7994 15820  3.0  2.7  2.75  0.14  25.22  19.62  22.36  23.40  77     8   122  4.4
  3  5580 J8  1271  5678 J8  2446  1787 J8   494  9368 16548  3.6  3.5  2.83  0.14  26.81  20.91  23.69  24.68  73     1   173  4.0
  4  6349 J8   935  5980 J8  1817  2030 J8   469 10472 17234  3.9  3.7  3.29  0.14  28.99  23.19  25.91  27.02  68     0   233  4.8
  5  6397 J8  1123  5541 J8  2125  2317 J8   547 11062 17777  4.6  4.1  3.99  0.15  30.33  25.05  27.45  28.37  62     0   290  4.4
  6  6252 J8  1253  5135 J8  2606  2453 J8   722 11235 18012  5.3  4.5  4.76  0.15  31.28  25.71  28.28  29.02  75     0   305  2.7
  7  6297 J8   866  4769 J8  1731  2684 J8   521 11100 17804  5.9  4.3  4.75  0.18  32.03  26.58  29.04  29.80  72     0   340  2.3
