722020 MIAMI INTL AP          FL  -5  N25 49  W080 18    11  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3526 K5   245  4312 K6   821  1403 K5   141  6658 15111  5.1  4.7  2.52  0.08  24.15  16.21  20.08  21.82  73    29    86  3.8
  2  4245 K5   313  4546 K6   757  1701 K5   153  7867 15775  4.9  4.6  2.52  0.09  24.98  17.00  20.88  22.45  72    16    91  3.8
  3  5126 K5   242  4765 K6   539  2117 K5   121  9296 16549  5.1  4.7  2.59  0.12  26.44  18.75  22.44  23.91  69     6   139  4.3
  4  5916 K5   440  4973 K6   708  2404 K5   136 10455 17286  5.0  4.6  2.77  0.16  28.00  20.77  24.20  25.54  67     0   182  4.4
  5  6113 K5   356  4651 K6   510  2700 K5   110 11090 17866  5.2  4.6  3.45  0.19  30.12  23.26  26.39  27.54  70     0   259  3.9
  6  5481 K5   539  3624 K6   771  2783 K5   231 11282 18116  6.5  5.6  4.59  0.22  31.35  24.75  27.69  28.62  76     0   291  3.3
  7  5719 K5   404  3941 K6   495  2793 K5   198 11129 17888  5.7  4.9  4.64  0.23  32.14  25.60  28.56  29.50  74     0   327  3.2
  8  5365 K5   358  3812 K6   451  2589 K5   174 10594 17290  5.8  5.0  4.84  0.22  32.21  25.64  28.57  29.61  75     0   328  3.1
  9  4592 K5   264  3325 K6   470  2354 K5   177  9611 16564  6.3  5.4  4.85  0.19  31.23  25.15  27.85  28.96  77     0   296  3.3
 10  4131 K5   323  3611 K6   662  1980 K5   102  8255 15820  5.7  5.1  4.00  0.15  29.52  23.52  26.28  27.49  74     0   254  3.7
 11  3510 K5   298  3704 K6   692  1595 K5    92  6928 15163  5.4  5.0  3.06  0.12  26.93  20.21  23.45  24.75  72     2   159  3.8
 12  3202 K5   231  3851 K6   712  1361 K5   125  6257 14845  5.3  4.9  2.72  0.09  24.94  17.58  21.17  22.74  73    18   109  3.6
 13  4744 K5   134  4093 K6   354  2148 K5   103  9119 16523  5.5  4.9  3.54  0.16  28.50  21.54  24.80  26.08  73    72  2522  3.7
 1991
  1  3275 I5   846  3566 I6  2122  1474 I5   338  6652 15106  5.1  4.5  3.03  0.07  26.20  19.02  22.47  24.11  76     2   135  4.0
  2  4253 I5  1001  4626 I6  2267  1631 I5   398  7851 15766  4.5  4.2  2.53  0.08  25.20  16.53  20.83  22.56  68    17    88  4.0
  3  5212 I5  1099  5075 I6  2303  1952 I5   544  9275 16533  4.4  4.1  2.51  0.11  27.18  19.14  23.13  24.78  68     4   154  4.9
  4  5641 I5  1047  4416 I6  1979  2532 I5   466 10440 17276  4.9  4.3  3.25  0.15  28.84  22.32  25.32  26.58  72     0   218  4.9
  5  5699 I5  1392  4020 I6  2179  2768 I5   465 11084 17861  5.4  4.7  3.79  0.19  30.29  24.54  27.16  28.12  69     0   282  5.6
  6  5533 I5  1108  3502 I6  1649  2942 I5   429 11281 18113  6.3  5.2  4.60  0.21  31.70  24.52  27.46  28.55  75     0   293  3.6
  7  5774 I5  1006  3543 I6  1503  3089 I5   385 11134 17893  6.0  4.9  4.68  0.23  31.91  25.03  28.19  29.18  77     0   314  3.0
  8  5798 I5   837  4012 I6  1396  2859 I5   414 10606 17301  4.9  4.1  4.63  0.26  32.63  25.48  28.74  30.04  73     0   333  3.0
  9  4686 I5   991  3040 I6  1493  2596 I5   331  9630 16578  5.6  4.7  4.74  0.27  31.20  24.59  27.52  28.77  78     0   287  2.7
 10  3656 I5  1058  2266 I6  1636  2227 I5   437  8276 15830  6.2  5.5  4.52  0.26  29.01  22.86  25.63  26.88  79     0   236  3.3
 11  3211 I5   998  2557 I6  1847  1784 I5   348  6945 15171  5.8  5.5  3.15  0.25  26.30  19.07  22.57  23.91  74     5   136  3.5
 12  2763 I5   701  2110 I6  1443  1709 I5   317  6259 14847  5.2  4.8  2.96  0.25  25.89  18.57  21.95  23.52  74     1   122  3.2
 13  4625 I5  1145  3561 I6   936  2297 I5   570  9119 16523  5.3  4.7  3.70  0.19  28.86  21.81  25.08  26.42  74    29  2597  3.8
 1992
  1  3084 I5   874  2534 I6  1734  1740 I5   358  6644 15101  5.5  4.8  2.77  0.26  23.83  15.29  19.52  21.27  74    24    62  3.6
  2  3927 I5   778  2953 I6  1682  2152 I5   400  7863 15769  5.3  4.5  2.52  0.27  25.06  17.43  21.11  22.66  75     5    90  4.2
  3  4783 I5  1398  3502 I6  2090  2370 I5   499  9308 16553  4.8  4.3  2.50  0.27  26.20  17.82  21.87  23.41  68     3   117  4.3
  4  5453 I5  1335  3576 I6  1981  2827 I5   505 10461 17284  5.6  4.8  2.80  0.30  26.74  19.66  22.98  24.22  70     0   146  4.8
  5  6839 I5   730  5394 I6  1829  2791 I5   668 11092 17866  3.1  2.4  2.58  0.32  29.68  20.88  25.09  26.62  64     0   216  3.9
  6  4977 I5  1411  2207 I6  1693  3280 I5   424 11281 18114  7.3  6.6  5.02  0.33  30.92  23.75  26.81  27.76  82     0   270  3.4
  7  6481 I5   806  4338 I6  1475  3149 I5   508 11127 17885  3.7  3.1  3.99  0.33  32.74  25.98  29.09  30.17  70     0   342  4.0
  8  5581 I5   915  3372 I6  1459  3052 I5   482 10589 17283  5.8  4.4  4.53  0.31  32.32  25.63  28.64  29.76  75     0   330  3.9
  9  4811 I5   905  2854 I6  1232  2773 I5   285  9601 16561  5.8  4.6  4.54  0.26  31.32  25.44  28.10  29.08  77     0   302  3.9
 10  4440 I5   956  4241 I6  1859  1871 I5   338  8242 15815  4.1  3.5  3.26  0.21  29.62  23.00  26.05  27.46  73     0   247  4.5
 11  3100 I5   943  2674 I6  1869  1668 I5   304  6918 15160  5.7  5.1  3.69  0.17  27.55  21.94  24.56  25.69  79     2   194  5.2
 12  3106 I5   815  3392 I6  1846  1435 I5   264  6255 14846  4.2  3.9  2.38  0.14  25.75  18.02  21.92  23.67  72     6   116  4.0
 13  4715 I5  1264  3420 I6   894  2426 I5   638  9115 16520  5.1  4.3  3.38  0.26  28.48  21.24  24.64  25.98  73    40  2432  4.1
 1993
  1  3302 I5   790  3243 I6  1857  1620 I5   362  6668 15117  5.5  4.7  3.08  0.12  26.00  19.64  22.59  24.01  77     3   143  4.8
  2  4142 I5   806  4200 I6  1960  1733 I5   430  7877 15780  4.7  3.9  2.29  0.12  24.52  16.30  20.37  21.93  70     5    63  4.8
  3  4868 I5  1380  4217 I6  2622  2072 I5   533  9301 16553  5.2  4.5  2.48  0.14  25.75  17.88  21.68  23.08  70    12   120  4.8
  4  5928 I5  1345  4962 I6  2164  2357 I5   458 10458 17290  4.6  3.8  1.96  0.18  27.16  19.33  23.25  24.67  64     0   147  4.9
  5  5924 I5  1516  4396 I6  2307  2682 I5   456 11093 17868  5.3  4.4  3.14  0.22  29.21  23.08  25.92  26.95  66     0   242  4.4
  6  5942 I5   983  3789 I6  1622  3108 I5   378 11283 18119  5.5  4.5  4.03  0.24  31.54  25.38  28.15  29.02  73     0   304  4.0
  7  5969 I5   979  4034 I6  1744  2981 I5   510 11128 17888  5.0  3.8  4.42  0.25  32.95  25.35  28.80  29.88  72     0   335  3.8
  8  5984 I5   856  4389 I6  1669  2749 I5   501 10592 17287  4.9  3.6  4.26  0.24  32.98  25.68  28.71  29.91  72     0   341  4.1
  9  4996 I5   868  3518 I6  1344  2534 I5   340  9607 16560  5.4  4.2  4.55  0.20  31.74  25.18  28.11  29.27  75     0   304  4.2
 10  4002 I5  1086  3234 I6  2100  2015 I5   450  8250 15818  5.7  4.6  4.39  0.16  30.54  23.49  26.49  27.87  78     0   269  3.9
 11  3320 I5   857  3286 I6  1769  1609 I5   389  6924 15161  4.9  4.3  3.40  0.12  27.86  20.76  24.05  25.39  75     2   182  4.4
 12  3251 I5   622  3857 I6  1577  1372 I5   262  6256 14843  4.7  3.8  2.50  0.09  25.15  15.75  20.31  22.34  70    19    85  4.4
 13  4802 I5  1150  3927 I6   541  2236 I5   582  9120 16524  5.1  4.2  3.37  0.17  28.78  21.49  24.87  26.19  72    42  2536  4.4
 1994
  1  3043 I5   899  2858 I6  2084  1592 I5   319  6660 15113  6.2  5.6  2.70  0.08  24.12  17.32  20.66  22.10  75    16    90  5.5
  2  3566 I5  1130  3287 I6  2229  1797 I5   393  7865 15774  5.5  5.2  2.90  0.09  26.05  19.90  22.62  23.78  77     8   138  5.0
  3  5211 I5  1090  4927 I6  2096  2039 I5   492  9289 16549  4.5  3.7  2.74  0.11  27.45  19.15  23.04  24.66  69     2   156  5.4
  4  5602 I5   979  4343 I6  1834  2535 I5   504 10450 17287  4.9  4.2  3.18  0.15  28.82  22.43  25.38  26.55  71     0   219  4.9
  5  6295 I5  1082  4777 I6  1899  2742 I5   566 11088 17866  4.7  3.7  3.63  0.19  31.08  23.59  26.98  28.23  68     0   279  3.0
