722024 MIAMI/OPA LOCKA        FL  -5  N25 54  W080 17     3  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3523 K6   314  4410 K7  1003  1362 K6   175  6645 15101  4.3  3.9  2.52  0.08  23.92  14.60  19.15  21.32  73    40    69  3.9
  2  4221 K6   355  4608 K7   853  1641 K6   146  7856 15770  4.1  3.8  2.52  0.09  24.31  14.93  19.52  21.37  73    31    68  4.0
  3  5191 K6   245  4963 K7   577  2040 K6   130  9289 16548  4.2  3.8  2.59  0.12  26.19  17.12  21.57  23.37  69    14   117  4.5
  4  5967 K6   444  5158 K7   830  2321 K6   173 10452 17290  4.0  3.5  2.77  0.16  28.35  20.13  24.07  25.69  67     0   178  4.5
  5  6177 K6   318  4837 K7   489  2622 K6   137 11092 17873  3.8  3.3  3.45  0.19  30.08  22.24  25.94  27.25  71     2   245  4.1
  6  5715 K6   596  3949 K7   810  2757 K6   252 11285 18121  4.6  3.5  4.58  0.22  31.40  24.06  27.34  28.38  78     2   284  3.4
  7  5898 K6   328  4247 K7   420  2736 K6   184 11132 17895  3.8  2.9  4.64  0.23  32.02  24.74  28.00  29.08  77     0   312  3.2
  8  5481 K6   327  3964 K7   440  2589 K6   210 10593 17294  4.0  3.1  4.84  0.22  32.22  25.04  28.21  29.37  78     1   320  3.1
  9  4753 K6   289  3606 K7   471  2303 K6   184  9606 16565  4.6  3.7  4.84  0.19  31.24  24.44  27.48  28.75  80     2   287  3.3
 10  4195 K6   313  3775 K7   661  1940 K6   112  8245 15816  4.6  3.9  4.00  0.15  29.71  22.85  26.05  27.54  76     0   246  3.8
 11  3586 K6   285  3978 K7   758  1520 K6   110  6916 15158  4.3  3.9  3.05  0.12  26.86  19.09  22.83  24.47  73     3   143  4.0
 12  3200 K6   227  3897 K7   712  1338 K6   123  6243 14838  4.4  4.1  2.71  0.09  24.74  16.03  20.20  22.12  75    29    93  3.8
 13  4826 K6   131  4283 K7   407  2097 K6   122  9113 16523  4.2  3.6  3.54  0.16  28.42  20.44  24.20  25.72  74   125  2361  3.8
 1991
  1  3324 J8   836  3659 J8  2085  1515 J8   352  6639 15097  5.0  4.3  3.03  0.07  22.11  12.58  17.16  19.12  71    91    60  3.4
  2  4085 J8  1141  4387 J8  2706  1626 J8   516  7840 15761  4.1  4.0  2.53  0.08  21.82  12.37  17.08  18.77  75    59    24  4.3
