722025 FORT LAUDERDALE HOLLYW FL  -5  N26  4  W080  9     3  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3586 K5   266  4596 K6   852  1304 K5   148  6618 15089  4.6  4.4  2.51  0.08  24.00  16.50  20.23  21.80  72    31    90  4.3
  2  4375 K5   329  4967 K6   826  1551 K5   168  7834 15762  4.4  4.2  2.50  0.09  24.79  17.19  21.00  22.42  71    18    93  4.2
  3  5338 K5   257  5287 K6   587  1934 K5   156  9275 16547  4.5  4.3  2.57  0.12  26.23  18.96  22.56  23.86  68     7   139  4.8
  4  6155 K5   435  5499 K6   798  2215 K5   166 10447 17297  4.3  4.1  2.75  0.16  27.78  21.14  24.39  25.54  66     0   184  4.7
  5  6481 K5   291  5308 K6   488  2512 K5   127 11095 17886  4.3  4.0  3.43  0.19  29.81  23.64  26.59  27.58  70     0   260  4.3
  6  5909 K5   639  4244 K6   870  2689 K5   223 11292 18139  5.3  4.7  4.57  0.22  31.20  25.18  27.95  28.76  76     0   296  3.4
  7  6121 K5   283  4547 K6   397  2692 K5   188 11137 17910  4.6  4.1  4.63  0.23  31.96  25.94  28.77  29.64  74     0   329  3.3
  8  5705 K5   336  4290 K6   550  2521 K5   206 10591 17303  4.9  4.4  4.82  0.22  31.99  26.01  28.77  29.68  75     0   331  3.2
  9  4886 K5   265  3823 K6   499  2245 K5   193  9594 16567  5.4  4.8  4.82  0.19  30.99  25.45  28.05  29.01  77     0   297  3.5
 10  4351 K5   351  4075 K6   748  1862 K5   133  8225 15811  5.2  4.8  3.98  0.15  29.40  23.85  26.53  27.56  73     0   257  4.4
 11  3649 K5   305  4083 K6   810  1502 K5   120  6890 15144  4.9  4.7  3.05  0.12  26.85  20.47  23.65  24.82  71     2   162  4.6
 12  3258 K5   226  4009 K6   724  1321 K5   129  6216 14820  5.0  4.8  2.71  0.09  25.00  18.06  21.52  22.92  72    16   115  4.2
 13  4984 K5   108  4561 K6   374  2029 K5   122  9101 16523  4.8  4.4  3.53  0.16  28.33  21.87  25.00  26.13  72    75  2555  4.1
 1991
  1  3301 J5   980  3832 J6  2510  1399 J5   416  6612 15086  4.3  4.1  3.02  0.07  25.72  19.93  22.83  23.89  79     4   144  4.0
  2  4325 J5  1190  5081 J6  2714  1416 J5   430  7818 15752  3.8  3.7  2.53  0.08  24.76  17.63  21.19  22.40  67    17    97  4.4
  3  5442 J5  1161  5626 J6  2623  1794 J5   594  9253 16537  4.0  3.8  2.51  0.11  27.03  19.70  23.33  24.60  69     4   160  4.8
  4  5726 J5  1210  4676 J6  2177  2374 J5   447 10432 17281  4.2  4.0  3.25  0.15  28.96  23.30  25.99  26.85  73     0   234  5.1
  5  6250 J5  1483  5173 J6  2470  2421 J5   533 11088 17878  4.5  4.1  3.77  0.19  30.91  26.47  28.60  29.25  63     0   321  5.2
  6  6464 J5  1000  4872 J6  1826  2790 J5   515 11292 18138  5.0  4.1  4.60  0.21  32.40  25.87  28.73  29.55  69     0   324  2.9
  7  6262 J5   918  4331 J6  1764  2954 J5   646 11142 17917  5.2  4.1  4.68  0.23  33.25  26.91  29.69  30.55  71     0   364  2.9
  8  6038 J5   919  4546 J6  1733  2633 J5   479 10603 17318  4.2  3.8  4.62  0.26  33.26  26.91  29.82  30.81  71     0   364  2.9
  9  4847 J5  1042  3179 J6  1788  2635 J5   434  9614 16581  4.6  4.4  4.74  0.27  31.95  26.15  28.91  29.92  74     0   322  3.2
 10  3931 J5  1137  2848 J6  1881  2110 J5   418  8247 15823  5.2  4.8  4.53  0.26  29.69  24.18  26.87  27.72  76     0   267  4.3
 11  3207 J5   910  2522 J6  1736  1804 J5   266  6907 15153  5.4  5.1  3.17  0.25  26.40  20.10  23.30  24.32  76     4   152  4.8
 12  3000 J5   662  2757 J6  1630  1584 J5   291  6218 14821  4.4  4.1  2.96  0.25  25.88  19.71  22.77  23.90  68     0   138  4.2
 13  4899 J5  1304  4120 J6  1062  2160 J5   549  9102 16524  4.6  4.2  3.70  0.19  29.18  23.07  26.00  26.98  72    29  2887  4.1
 1992
  1  3246 J5   886  2963 J6  1799  1657 J5   350  6605 15079  4.3  4.0  2.78  0.26  23.96  16.02  20.08  21.41  67    22    73  4.2
  2  4071 J5   935  3322 J6  1835  2053 J5   358  7830 15759  4.2  3.8  2.52  0.27  25.25  18.12  21.65  22.79  69     4   101  4.3
  3  5172 J5  1145  4196 J6  2141  2318 J5   578  9286 16551  4.2  3.8  2.51  0.28  25.76  18.27  22.14  23.39  62     6   121  4.6
  4  5542 J5  1343  3884 J6  2016  2697 J5   425 10454 17302  4.2  4.0  2.80  0.30  26.32  19.80  23.07  24.04  68     1   143  5.3
  5  6973 J5   829  5873 J6  1643  2579 J5   538 11097 17886  2.2  2.1  2.58  0.32  28.86  21.28  25.20  26.32  67     0   209  4.3
  6  5868 J5  1118  3326 J6  1750  3312 J5   625 11292 18137  6.2  5.0  5.02  0.33  30.64  24.23  26.92  27.63  77     0   273  3.1
  7  6783 J5   812  5135 J6  1516  2866 J5   516 11134 17907  2.8  2.6  3.99  0.33  31.32  25.84  28.50  29.31  63     0   318  3.2
  8  5518 J5   983  3368 J6  1467  3021 J5   539 10586 17299  4.7  4.1  4.52  0.31  31.20  25.60  28.08  28.90  69     0   312  3.1
