722026 HOMESTEAD AFB          FL  -5  N25 29  W080 23     5  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3734 K5   356  4865 K6  1177  1285 K5   213  6711 15138  4.9  4.7  2.58  0.08  24.02  14.85  19.27  21.48  77    37    72  3.2
  2  4466 K5   423  5071 K6  1069  1566 K5   221  7911 15792  4.8  4.5  2.55  0.09  24.98  16.04  20.42  22.35  77    19    80  3.3
  3  5438 K5   366  5426 K6   842  1932 K5   162  9325 16550  4.9  4.5  2.64  0.12  26.28  17.77  21.93  23.71  74     9   123  3.7
  4  6206 K5   589  5512 K6  1212  2254 K5   299 10465 17273  4.7  4.3  2.82  0.16  27.68  19.84  23.75  25.33  72     1   164  3.7
  5  6355 K5   425  5077 K6   742  2547 K5   200 11084 17840  5.0  4.5  3.49  0.19  29.58  22.23  25.80  27.13  75     0   235  3.4
  6  5813 K5   542  4033 K6   964  2736 K5   329 11268 18083  6.3  5.5  4.58  0.22  31.12  23.93  27.25  28.39  80     0   276  2.6
  7  6049 K5   364  4418 K6   718  2680 K5   260 11119 17859  5.6  4.9  4.57  0.23  31.84  24.67  28.03  29.20  79     0   308  2.4
  8  5702 K5   364  4260 K6   784  2505 K5   297 10598 17272  5.6  5.0  4.76  0.22  31.91  24.80  28.05  29.34  79     0   311  2.4
  9  4992 K5   251  3976 K6   631  2222 K5   265  9633 16560  5.9  5.0  4.85  0.20  31.06  24.49  27.47  28.79  81     0   283  2.7
 10  4508 K5   371  4355 K6   892  1819 K5   194  8293 15831  5.3  4.7  4.08  0.15  29.33  22.83  25.88  27.34  79     0   241  3.3
 11  3786 K5   354  4350 K6  1036  1466 K5   194  6978 15189  5.0  4.6  3.17  0.12  26.84  19.21  22.85  24.48  77     2   143  3.4
 12  3414 K5   285  4325 K6   944  1293 K5   169  6312 14878  5.1  4.7  2.77  0.09  24.80  16.36  20.40  22.36  79    24    93  3.1
 13  5039 K5   254  4639 K6   718  2025 K5   203  9141 16522  5.2  4.7  3.57  0.16  28.29  20.58  24.26  25.83  78    92  2329  3.1
 1991
