722029 MIAMI/KENDALL-TAMIA    FL  -5  N25 39  W080 26     3  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3601 K6   315  4579 K7   978  1339 K6   156  6684 15122  4.2  4.0  2.52  0.08  24.34  14.11  19.01  21.52  77    39    67  4.0
  2  4324 K6   364  4762 K7   922  1651 K6   178  7889 15784  4.0  3.9  2.53  0.09  25.31  14.87  19.93  22.21  76    22    72  3.9
  3  5236 K6   325  5078 K7   696  2033 K6   136  9311 16549  4.2  3.9  2.60  0.12  26.83  16.63  21.63  23.74  73    10   116  4.3
  4  6036 K6   558  5276 K7   941  2311 K6   166 10460 17280  4.0  3.7  2.78  0.16  28.48  18.64  23.45  25.45  71     1   158  4.3
  5  6174 K6   446  4815 K7   697  2626 K6   147 11087 17854  4.1  3.8  3.47  0.19  30.54  21.27  25.71  27.38  72     0   235  3.9
  6  5630 K6   520  3832 K7   831  2761 K6   261 11275 18098  5.1  4.4  4.60  0.22  31.74  23.36  27.09  28.41  78     0   277  3.1
  7  5815 K6   351  4143 K7   585  2724 K6   241 11124 17873  4.4  3.8  4.65  0.23  32.41  24.04  27.83  29.20  77     0   307  2.9
  8  5381 K6   292  3818 K7   562  2586 K6   235 10596 17281  4.6  4.0  4.86  0.22  32.50  24.14  27.83  29.36  79     0   310  2.9
  9  4678 K6   233  3469 K7   522  2323 K6   221  9622 16562  5.0  4.4  4.86  0.20  31.45  23.76  27.09  28.68  81     0   278  3.1
 10  4327 K6   338  3969 K7   756  1933 K6   132  8274 15825  4.5  4.0  4.02  0.15  29.84  21.97  25.52  27.32  78     0   235  3.6
 11  3652 K6   323  4078 K7   847  1527 K6   125  6953 15177  4.2  4.0  3.06  0.12  27.07  18.21  22.39  24.35  76     4   134  3.9
 12  3291 K6   279  4088 K7   817  1327 K6   124  6284 14861  4.3  4.1  2.72  0.09  25.03  15.45  20.03  22.30  78    27    86  3.8
 13  4845 K6   231  4326 K7   571  2095 K6   142  9130 16522  4.4  4.0  3.56  0.16  28.79  19.70  23.96  25.83  76   104  2273  3.7
 1991
  1  3253 J8   996  3691 J8  2336  1424 J8   321  6678 15119  4.7  4.3  3.04  0.07  26.45  17.85  21.89  24.01  80     6   124  4.4
  2  4352 J8  1016  4924 J8  2513  1576 J8   475  7873 15772  4.1  3.9  2.54  0.08  25.38  15.09  20.11  22.31  73    24    77  4.6
  3  4977 J8  1178  4877 J8  2501  1985 J8   596  9290 16538  4.2  3.9  2.50  0.11  27.61  17.80  22.67  24.69  71     8   144  5.0
  4  5340 J8  1314  4018 J8  2130  2553 J8   464 10445 17268  4.5  4.2  3.25  0.15  29.74  21.31  25.12  26.82  74     0   216  5.2
  5  5784 J8  1499  4101 J8  2170  2751 J8   514 11081 17845  5.0  4.5  3.80  0.19  30.79  23.15  26.74  28.02  72     0   268  5.0
  6  5699 J8  1232  3594 J8  1999  3001 J8   458 11274 18099  6.0  5.0  4.59  0.21  31.66  23.45  26.89  28.16  79     0   277  3.2
  7  5689 J8  1089  3518 J8  1818  3023 J8   546 11129 17881  5.8  4.9  4.68  0.23  32.45  24.40  27.87  29.18  77     0   313  2.7
  8  5613 J8   956  3851 J8  1546  2801 J8   424 10608 17295  4.8  4.2  4.63  0.26  32.76  24.32  28.00  29.53  76     0   316  3.4
  9  4769 J8  1008  3134 J8  1711  2614 J8   415  9641 16574  5.3  4.5  4.74  0.27  31.45  23.94  27.14  28.67  79     0   281  3.4
 10  4029 J8  1080  2934 J8  1787  2139 J8   423  8296 15841  5.6  4.9  4.50  0.26  29.39  22.24  25.46  27.10  79     0   232  3.7
 11  3342 J8   812  2727 J8  1781  1823 J8   355  6970 15186  5.3  4.8  3.14  0.25  26.34  18.10  21.92  23.52  76     8   125  5.0
 12  2957 J8   688  2643 J8  1453  1618 J8   214  6287 14863  4.8  4.3  2.96  0.25  25.91  17.06  21.10  23.14  77     1    99  4.9
 13  4650 J8  1044  3668 J8   749  2276 J8   583  9131 16523  5.0  4.4  3.70  0.19  29.16  20.73  24.58  26.26  76    47  2472  4.2
 1992
  1  3059 J8   829  2408 J8  1689  1753 J8   324  6671 15114  5.2  4.8  2.76  0.26  23.93  14.01  18.72  20.91  76    31    51  4.8
  2  3787 J8   966  2728 J8  1778  2163 J8   357  7885 15780  4.8  4.5  2.52  0.27  25.80  15.90  20.58  22.73  76    10    83  4.8
  3  4969 J8  1279  3800 J8  2126  2341 J8   457  9322 16558  4.5  4.1  2.50  0.27  26.59  15.96  21.27  23.34  71     8    99  5.0
  4  5586 J8  1575  4023 J8  2343  2627 J8   573 10466 17287  5.0  4.5  2.80  0.30  27.34  18.23  22.66  24.32  71     4   138  5.6
  5  6703 J8   933  5272 J8  1954  2772 J8   639 11089 17856  2.8  2.6  2.58  0.32  30.07  18.69  24.39  26.47  65     0   188  4.7
  6  5397 J8  1094  2456 J8  1506  3497 J8   619 11274 18098  7.1  5.9  5.01  0.33  31.15  23.10  26.44  27.62  83     0   264  3.9
  7  6501 J8   865  4674 J8  1745  2991 J8   651 11122 17870  3.5  3.1  3.98  0.33  33.25  24.55  28.65  30.16  72     0   328  4.1
  8  5230 J8  1059  3050 J8  1653  2956 J8   440 10591 17278  5.8  5.0  4.53  0.31  32.81  23.92  27.86  29.47  78     0   311  3.7
  9  4660 J8  1069  2789 J8  1560  2696 J8   388  9612 16559  5.7  4.9  4.54  0.27  32.06  23.50  27.11  28.88  81     0   284  2.4
 10  4470 J8   793  3961 J8  1695  1995 J8   408  8261 15822  3.8  3.5  3.26  0.21  29.90  21.06  25.08  27.15  76     0   222  3.3
 11  3262 J8   835  2907 J8  1741  1688 J8   307  6943 15173  5.5  5.0  3.68  0.17  27.67  20.71  23.81  25.22  80     4   180  4.8
 12  3219 J8   775  3746 J8  1922  1391 J8   323  6283 14861  3.7  3.5  2.38  0.14  25.58  16.62  20.70  22.95  75     9    95  3.7
 13  4737 J8  1233  3485 J8   909  2406 J8   626  9127 16521  4.8  4.3  3.38  0.26  28.85  19.69  23.94  25.77  75    66  2241  4.2
 1993
  1  3250 J8   932  3236 J8  2078  1548 J8   340  6694 15130  5.1  4.5  3.08  0.12  25.87  18.08  21.68  23.45  80     5   118  4.3
  2  4009 J8  1032  3763 J8  2183  1843 J8   362  7900 15791  4.1  4.0  2.28  0.12  24.20  14.66  19.39  21.39  73    11    42  4.3
  3  4913 J8  1257  4261 J8  2443  2064 J8   510  9315 16552  4.9  4.5  2.48  0.14  25.94  16.17  20.88  22.73  72    13    97  4.7
  4  6268 J8  1133  5614 J8  2072  2192 J8   487 10463 17286  4.0  3.5  1.96  0.18  27.55  18.15  22.56  24.38  67     0   136  4.7
  5  5870 J8  1818  4585 J8  2673  2489 J8   512 11089 17859  4.7  4.4  3.14  0.22  29.18  21.52  25.24  26.57  69     0   218  5.0
  6  5951 J8  1241  4081 J8  1913  2899 J8   458 11276 18098  4.9  4.4  4.03  0.24  31.73  23.80  27.52  28.73  76     0   283  3.6
  7  6046 J8   968  4234 J8  1850  2883 J8   568 11123 17871  4.5  3.9  4.43  0.25  32.77  24.54  28.08  29.48  75     0   320  3.1
  8  5783 J8  1194  4209 J8  2004  2668 J8   481 10594 17278  4.6  4.1  4.26  0.24  32.87  24.50  28.06  29.61  77     0   321  3.0
  9  4997 J8  1048  3665 J8  1791  2433 J8   416  9618 16559  4.8  4.3  4.55  0.20  31.89  23.98  27.56  29.11  77     0   288  3.9
