722030 WEST PALM BEACH INTL A FL  -5  N26 41  W080  6     6  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3485 K5   293  4501 K7   889  1305 K5   147  6521 15034  5.0  4.5  2.44  0.08  23.36  14.49  18.92  20.92  74    47    65  4.4
  2  4235 K5   262  4753 K7   661  1584 K5   156  7752 15731  5.0  4.5  2.46  0.09  24.22  15.21  19.75  21.53  73    29    68  4.4
  3  5158 K5   249  5072 K7   541  1974 K5   151  9220 16544  5.0  4.5  2.54  0.12  25.77  17.27  21.50  23.10  70    14   113  4.9
  4  6031 K5   349  5305 K7   637  2305 K5   166 10427 17323  4.8  4.4  2.74  0.16  27.31  19.48  23.40  24.80  68     2   154  4.8
  5  6306 K5   380  5044 K7   619  2596 K5   189 11105 17935  4.8  4.3  3.40  0.19  29.60  22.21  25.76  26.98  71     0   235  4.4
  6  5844 K5   618  4266 K7   986  2684 K5   231 11317 18200  5.5  4.9  4.55  0.22  30.99  23.93  27.12  28.17  78     0   274  3.5
  7  6109 K5   444  4643 K7   776  2652 K5   207 11154 17963  4.7  4.1  4.69  0.23  31.80  24.67  27.92  29.04  77     0   307  3.3
  8  5645 K5   458  4318 K7   721  2502 K5   212 10583 17337  5.1  4.4  4.88  0.22  31.86  24.75  27.99  29.15  77     0   309  3.3
  9  4906 K5   375  3941 K7   673  2250 K5   170  9553 16574  5.5  4.8  4.79  0.19  30.90  24.45  27.43  28.65  78     0   280  3.7
 10  4264 K5   287  4018 K7   636  1877 K5   111  8153 15789  5.3  4.8  3.87  0.15  29.12  22.57  25.70  27.04  74     1   234  4.2
 11  3512 K5   287  3916 K7   772  1506 K5   117  6797 15095  5.4  5.0  2.96  0.12  26.34  18.76  22.53  24.03  73     7   133  4.4
 12  3147 K5   199  3937 K7   629  1294 K5   115  6114 14757  5.4  5.0  2.65  0.09  24.17  15.90  20.00  21.79  75    32    85  4.2
 13  4887 K5   161  4476 K7   415  2044 K5   126  9058 16523  5.1  4.6  3.50  0.16  27.95  20.31  24.00  25.43  74   131  2257  4.1
 1991
  1  3396 I5   806  4102 I6  2228  1397 I5   413  6514 15030  5.3  4.3  3.08  0.07  25.44  17.84  21.49  23.21  78    12   114  4.9
  2  4149 I5  1096  4640 I6  2456  1532 I5   368  7735 15721  4.9  4.1  2.55  0.08  24.25  15.91  19.98  21.64  69    25    74  5.4
  3  5085 I5  1248  5121 I6  2636  1790 I5   539  9198 16532  4.7  4.1  2.75  0.11  26.97  17.85  22.29  24.16  70    10   136  6.1
  4  5660 I5  1229  4643 I6  1910  2384 I5   357 10412 17314  5.1  4.1  3.33  0.14  28.33  21.39  24.70  25.99  75     0   196  6.0
  5  5912 I5  1489  4421 I6  2331  2656 I5   495 11098 17927  5.7  4.7  3.89  0.19  29.45  23.73  26.55  27.54  75     0   256  5.8
  6  6097 I5  1089  4124 I6  1864  2996 I5   510 11316 18199  6.4  4.7  4.61  0.21  31.39  23.72  27.08  28.30  78     0   277  3.7
  7  6065 I5   883  4154 I6  1631  2913 I5   480 11159 17970  5.6  4.1  4.85  0.23  32.36  24.18  27.73  29.05  79     0   308  3.4
  8  6064 I5   909  4327 I6  1633  2891 I5   498 10596 17348  5.1  3.4  4.84  0.26  32.61  24.56  28.21  29.71  77     0   318  3.4
  9  5218 I5   736  3798 I6  1595  2556 I5   501  9572 16588  5.6  4.1  4.78  0.27  31.28  24.12  27.35  28.79  79     0   281  3.6
 10  3980 I5   917  2894 I6  1783  2169 I5   476  8175 15802  6.0  4.9  4.26  0.26  29.08  22.65  25.64  26.99  77     0   234  4.8
 11  3192 I5   834  2586 I6  1658  1764 I5   312  6814 15104  5.9  4.8  3.22  0.25  25.84  17.94  21.82  23.31  75    14   120  5.6
 12  3012 I5   646  2960 I6  1446  1537 I5   245  6117 14759  5.3  4.2  3.02  0.25  25.24  16.99  20.82  22.63  76     7    93  4.7
 13  4819 I5  1205  3981 I6   784  2215 I5   594  9059 16525  5.5  4.3  3.76  0.19  28.52  20.91  24.47  25.94  76    68  2409  4.8
 1992
  1  3006 I5   823  2455 I6  1678  1729 I5   411  6507 15025  5.8  4.4  2.72  0.26  22.93  13.76  18.35  20.36  75    44    44  5.1
  2  3999 I5   885  3171 I6  1730  2074 I5   429  7748 15726  5.9  4.5  2.63  0.27  24.75  15.80  20.19  21.92  76    13    70  5.0
  3  4862 I5  1416  3816 I6  2327  2282 I5   542  9232 16548  5.0  4.2  2.56  0.28  25.35  16.35  20.86  22.64  71    14    92  5.2
  4  5751 I5  1298  3914 I6  2132  2852 I5   633 10434 17326  5.4  4.1  2.83  0.30  26.23  18.69  22.25  23.64  70     4   127  5.8
