722038 NAPLES MUNICIPAL       FL  -5  N26  9  W081 46     3  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3699 K5   349  4961 K6  1127  1240 K5   185  6605 15079  3.9  3.7  2.40  0.08  23.03  13.00  17.76  20.01  74    57    47  3.2
  2  4508 K5   396  5291 K6  1085  1506 K5   223  7823 15758  3.9  3.6  2.39  0.09  23.98  13.86  18.67  20.88  73    35    52  3.4
  3  5461 K5   389  5589 K6   895  1860 K5   190  9268 16547  3.8  3.6  2.47  0.12  25.57  15.87  20.66  22.52  70    17    91  3.6
  4  6295 K5   509  5769 K6  1001  2200 K5   221 10445 17301  3.6  3.3  2.69  0.16  27.51  18.12  22.79  24.64  70     2   137  3.6
  5  6556 K5   367  5424 K6   627  2521 K5   171 11096 17893  3.6  3.3  3.36  0.19  29.93  20.84  25.35  26.89  71     0   219  3.3
  6  6091 K5   461  4504 K6   754  2657 K5   287 11296 18147  5.0  4.1  4.54  0.22  31.14  23.30  26.82  28.11  77     0   267  2.8
  7  5844 K5   343  4158 K6   458  2670 K5   232 11139 17916  4.4  3.7  4.65  0.24  31.67  23.90  27.35  28.58  77     0   293  2.6
  8  5541 K5   398  4134 K6   486  2472 K5   203 10590 17308  4.2  3.4  4.84  0.22  31.80  24.04  27.43  28.94  78     0   297  2.5
  9  4968 K5   307  3969 K6   516  2253 K5   190  9589 16568  4.4  3.8  4.79  0.20  31.20  23.72  26.87  28.49  79     0   274  2.8
 10  4574 K5   330  4605 K6   807  1798 K5   150  8215 15808  3.8  3.4  3.85  0.15  29.41  20.86  24.82  26.70  75     1   212  3.1
 11  3854 K5   381  4651 K6  1008  1400 K5   146  6878 15137  3.5  3.3  2.88  0.12  26.36  16.93  21.34  23.30  73    10   109  3.1
 12  3401 K5   264  4511 K6   867  1224 K5   141  6202 14811  4.1  3.8  2.56  0.09  23.88  14.21  18.76  21.03  75    40    62  3.0
 13  5066 K5   152  4797 K6   526  1983 K5   163  9095 16523  4.0  3.6  3.45  0.16  27.96  19.05  23.22  25.01  74   162  2060  3.1
 1991
  1  3340 J5   963  3915 J6  2305  1355 J5   347  6599 15075  4.4  4.1  3.13  0.07  25.06  16.10  20.14  22.26  78    16    86  3.0
  2  4363 J5   975  4993 J6  2430  1552 J5   479  7807 15747  4.0  3.4  2.51  0.08  23.96  14.24  18.91  21.09  68    34    56  3.8
  3  5051 J5  1223  4942 J6  2675  1892 J5   574  9246 16531  4.1  3.8  2.49  0.11  25.65  16.37  21.18  22.91  66    16    99  4.1
  4  5358 J5   993  3876 J6  1809  2720 J5   463 10430 17290  4.4  3.9  3.18  0.15  28.71  19.99  24.07  25.88  64     0   181  3.6
  5  5587 J5  1508  4006 J6  2375  2699 J5   583 11089 17885  5.3  4.7  3.81  0.19  30.66  22.36  26.08  27.47  70     0   254  2.8
  6  5898 J5  1038  3644 J6  1889  3130 J5   589 11295 18146  6.2  5.1  4.57  0.21  30.95  22.90  26.52  27.86  75     0   258  1.9
  7  5745 J5  1130  3529 J6  1834  3026 J5   517 11144 17925  6.2  5.1  4.68  0.23  31.28  23.21  26.68  27.94  77     0   276  1.8
  8  5908 J5   855  4227 J6  1525  2802 J5   480 10602 17317  4.9  3.7  4.68  0.26  31.46  23.49  26.91  28.52  77     0   283  1.6
  9  5028 J5  1021  3547 J6  1815  2537 J5   461  9608 16581  4.8  4.2  4.74  0.27  30.59  22.72  26.10  27.88  76     0   250  1.8
 10  4116 J5   961  3184 J6  2023  2136 J5   460  8238 15819  4.9  4.3  4.34  0.26  28.82  20.33  24.06  25.96  77     0   193  2.8
 11  3180 J5   871  2649 J6  1731  1735 J5   331  6894 15146  4.3  4.0  3.01  0.25  24.89  15.24  19.67  21.62  78    29    81  2.9
 12  2957 J5   810  2818 J6  1863  1526 J5   253  6205 14811  4.1  3.9  2.86  0.25  24.53  14.66  19.03  21.46  74    21    61  2.6
 13  4711 J5  1091  3777 J6   726  2259 J5   633  9096 16523  4.8  4.2  3.67  0.19  28.05  19.30  23.28  25.07  73   116  2077  2.7
 1992
  1  2869 J5   806  2037 J6  1433  1794 J5   306  6592 15069  5.4  5.0  2.66  0.26  21.58  12.15  16.66  18.78  80    66    21  2.9
  2  3602 J5   727  2275 J6  1285  2211 J5   327  7819 15755  5.5  5.1  2.46  0.27  23.91  14.42  18.90  21.09  78    27    51  3.1
  3  4736 J5  1353  3436 J6  2299  2400 J5   513  9279 16549  4.7  4.5  2.39  0.28  24.43  14.74  19.54  21.33  70    21    60  2.9
  4  5438 J5  1371  3735 J6  2177  2675 J5   481 10451 17308  5.4  4.8  2.78  0.30  26.10  16.90  21.36  23.17  71    13   108  3.4
  5  6676 J5   891  4970 J6  2014  2935 J5   750 11098 17894  3.3  2.8  2.56  0.32  28.10  17.94  23.23  24.87  68     1   146  3.3
  6  5874 J5   989  3264 J6  1637  3357 J5   491 11295 18146  6.1  4.9  4.90  0.33  30.57  23.08  26.48  27.70  79     0   255  3.0
  7  6313 J5   934  4327 J6  1477  3009 J5   494 11136 17913  3.2  2.6  3.99  0.33  31.95  23.21  27.03  28.44  77     0   287  2.1
  8  5818 J5   788  3778 J6  1407  2996 J5   463 10584 17306  4.1  3.1  4.55  0.31  31.28  22.83  26.22  27.86  80     0   270  2.4
  9  5134 J5   754  3322 J6  1329  2764 J5   445  9579 16563  4.1  3.1  4.49  0.27  31.04  22.74  26.01  27.79  80     0   257  2.3
 10  4217 J5  1020  3636 J6  2124  2010 J5   475  8203 15803  3.7  3.3  3.23  0.21  28.59  19.68  23.77  25.78  75     0   180  3.0
 11  3147 J5   913  2833 J6  1874  1632 J5   275  6867 15132  5.2  4.9  3.64  0.17  27.04  18.28  22.17  24.05  77    13   143  3.7
 12  3110 J5   676  3596 J6  1581  1356 J5   272  6201 14813  4.7  4.3  2.34  0.14  24.57  13.89  18.74  21.44  75    26    54  2.5
 13  4745 J5  1334  3434 J6   805  2428 J5   630  9092 16521  4.6  4.0  3.33  0.26  27.43  18.32  22.51  24.36  76   166  1831  2.9
 1993
  1  3166 J5  1002  3243 J6  2246  1479 J5   345  6615 15085  5.3  5.1  3.04  0.12  25.06  16.21  20.17  22.36  78    14    85  3.0
