722039 FORT LAUDERDALE        FL  -5  N26 12  W080 10     4  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3532 K6   242  4491 K7   769  1320 K6   125  6597 15074  4.3  4.1  2.50  0.08  23.40  14.54  18.92  20.85  69    48    68  3.8
  2  4342 K6   288  4919 K7   737  1571 K6   154  7816 15756  4.1  3.8  2.50  0.09  24.94  16.37  20.62  22.32  69    18    84  3.8
  3  5224 K6   264  5112 K7   620  1972 K6   161  9263 16546  4.1  3.9  2.57  0.12  26.39  17.67  21.98  23.61  67     9   124  4.4
  4  6086 K6   447  5389 K7   769  2258 K6   142 10443 17302  3.9  3.6  2.75  0.16  27.85  19.77  23.76  25.22  65     1   165  4.4
  5  6372 K6   362  5139 K7   632  2553 K6   195 11097 17897  3.9  3.5  3.43  0.19  29.81  22.49  25.93  27.13  68     0   242  4.1
  6  5855 K6   639  4209 K7   913  2685 K6   253 11298 18150  4.9  4.2  4.57  0.22  31.25  24.37  27.48  28.46  74     0   284  3.2
  7  5957 K6   324  4346 K7   474  2707 K6   171 11140 17920  4.2  3.7  4.63  0.23  32.01  24.92  28.15  29.18  74     0   314  3.1
  8  5682 K6   337  4272 K7   544  2526 K6   238 10590 17310  4.3  3.7  4.82  0.22  32.41  25.38  28.54  29.68  74     0   328  3.0
  9  4834 K6   338  3721 K7   532  2288 K6   195  9586 16569  4.9  4.3  4.82  0.20  31.25  24.85  27.73  28.94  76     0   292  3.2
 10  4268 K6   348  3941 K7   763  1894 K6   138  8210 15806  4.7  4.3  3.97  0.15  29.35  22.83  25.94  27.24  72     1   241  3.9
 11  3614 K6   279  4040 K7   749  1509 K6   111  6870 15133  4.5  4.2  3.04  0.12  26.72  19.11  22.84  24.32  69     3   141  4.0
 12  3233 K6   210  4026 K7   657  1308 K6   125  6194 14807  4.5  4.3  2.70  0.09  24.11  15.86  19.95  21.67  71    34    85  3.6
 13  4917 K6   162  4467 K7   398  2049 K6   122  9092 16523  4.3  4.0  3.53  0.16  28.29  20.68  24.32  25.72  71   114  2368  3.7
 1991
  1  3372 J8   935  4037 J8  2433  1366 J8   357  6591 15071  4.3  4.0  3.02  0.07  25.16  17.66  21.27  22.87  71    12   107  4.3
  2  4374 J8  1139  5212 J8  2690  1414 J8   460  7800 15746  4.0  3.7  2.53  0.08  26.57  18.25  22.30  23.97  77     4   118  4.9
  3  5326 J8  1291  5415 J8  2389  1824 J8   461  9241 16537  4.2  3.7  2.51  0.11  27.52  17.55  22.72  24.71  68     3   134  5.5
  4  6116 J8   878  5400 J8  1879  2283 J8   524 10428 17285  4.1  3.5  3.25  0.15  29.45  20.40  24.79  26.52  66     0   198  5.5
  5  6083 J8  1450  4874 J8  2502  2514 J8   554 11090 17889  4.5  4.0  3.77  0.19  30.82  22.65  26.48  27.87  63     0   260  4.8
  6  6000 J8  1309  4361 J8  2071  2749 J8   460 11297 18150  5.1  4.4  4.60  0.21  31.40  24.84  27.65  28.65  69     0   294  2.0
  7  5735 J8  1179  3723 J8  2044  2981 J8   529 11146 17929  5.3  4.8  4.68  0.23  32.34  24.48  27.87  28.98  75     0   312  2.2
  8  5883 J8   893  4090 J8  1549  2824 J8   457 10602 17322  4.5  3.8  4.62  0.26  32.35  25.13  28.42  29.64  74     0   323  2.9
  9  4914 J8   986  3129 J8  1467  2702 J8   374  9605 16582  4.9  4.2  4.74  0.27  31.32  24.60  27.49  28.76  82     0   289  3.2
 10  3786 J8  1007  2448 J8  1639  2234 J8   377  8232 15819  5.4  5.1  4.53  0.26  29.64  22.17  25.80  27.28  69     5   240  4.1
