722040 MELBOURNE REGIONAL AP  FL  -5  N28  7  W080 39    11  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3295 K5   421  4344 K6  1267  1232 K5   171  6291 14904  4.5  4.2  2.28  0.07  21.81  11.36  16.58  18.94  76    89    35  3.9
  2  3992 K5   431  4479 K6  1041  1526 K5   169  7558 15655  4.5  4.3  2.30  0.09  22.65  12.38  17.53  19.61  74    62    39  4.1
  3  5075 K5   487  4956 K6   974  1922 K5   178  9090 16536  4.2  3.9  2.43  0.13  24.75  14.78  19.80  21.65  71    31    75  4.5
  4  6098 K5   483  5600 K6   926  2156 K5   209 10377 17383  3.9  3.6  2.63  0.14  26.59  17.20  22.10  23.79  70     8   115  4.5
  5  6492 K5   390  5510 K6   712  2426 K5   162 11125 18050  3.9  3.7  3.30  0.17  29.28  20.77  25.02  26.37  71     0   208  4.4
  6  6056 K5   552  4559 K6   995  2631 K5   249 11371 18341  5.1  4.4  4.44  0.20  30.98  23.02  26.67  27.91  78     0   260  3.6
  7  6039 K5   298  4401 K6   442  2695 K5   164 11191 18090  4.3  3.8  4.69  0.26  31.76  23.61  27.34  28.63  79     0   290  3.3
  8  5673 K5   340  4471 K6   646  2420 K5   219 10560 17417  4.6  4.0  4.84  0.19  31.54  23.77  27.32  28.64  80     0   289  3.3
  9  4867 K5   320  4041 K6   724  2162 K5   210  9451 16590  5.1  4.6  4.64  0.15  30.59  23.68  26.91  28.26  79     0   264  3.8
 10  4197 K5   365  4160 K6   890  1768 K5   148  7980 15738  4.7  4.4  3.62  0.13  28.19  20.77  24.49  25.97  75     3   193  4.1
 11  3459 K5   340  4042 K6   967  1414 K5   139  6577 14983  4.6  4.3  2.79  0.11  25.09  16.16  20.64  22.44  76    21    89  4.1
 12  2937 K5   303  3677 K6   898  1236 K5   117  5876 14612  4.7  4.6  2.49  0.10  22.52  12.82  17.64  19.82  77    68    47  3.7
 13  4848 K5   253  4520 K6   682  1966 K5   149  8954 16525  4.5  4.1  3.37  0.14  27.15  18.36  22.67  24.34  76   280  1905  3.9
 1991
  1  2858 J5   828  2985 J6  2012  1411 J5   350  6284 14900  6.0  5.6  2.80  0.06  23.59  15.80  19.62  21.25  80    37    79  4.5
  2  3463 J5  1316  3451 J6  2968  1591 J5   465  7540 15647  5.2  5.1  2.36  0.08  23.19  13.43  18.35  20.42  70    50    50  4.8
  3  4308 J5  1701  3934 J6  2975  1854 J5   497  9067 16523  5.0  4.5  2.68  0.11  25.02  15.02  20.24  21.98  73    26    78  5.1
