722045 VERO BEACH MUNICIPAL A FL  -5  N27 39  W080 25     7  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3319 K5   368  4238 K6  1154  1286 K5   166  6366 14944  4.6  4.2  2.31  0.08  22.41  11.52  16.97  19.57  76    81    39  3.8
  2  4100 K5   376  4610 K6   997  1550 K5   187  7621 15680  4.5  4.1  2.33  0.09  23.29  12.35  17.87  20.18  75    56    42  3.9
  3  5027 K5   407  4921 K6   925  1935 K5   189  9133 16539  4.4  3.9  2.45  0.12  25.08  14.57  19.92  21.99  73    30    76  4.3
  4  6012 K5   461  5269 K6   921  2293 K5   217 10394 17363  4.1  3.6  2.65  0.15  26.79  16.84  22.09  23.95  71     8   112  4.3
  5  6310 K5   340  5023 K6   646  2608 K5   178 11119 18012  4.1  3.6  3.33  0.19  29.21  20.27  24.84  26.34  74     0   199  4.0
  6  5831 K5   582  4155 K6  1027  2716 K5   265 11354 18294  5.1  4.3  4.46  0.22  31.05  22.56  26.54  27.91  79     0   254  3.4
  7  5989 K5   317  4339 K6   537  2738 K5   237 11179 18047  4.4  3.5  4.69  0.23  31.90  23.26  27.30  28.72  79     0   287  3.0
  8  5527 K5   381  4125 K6   723  2522 K5   256 10568 17390  4.6  3.8  4.85  0.22  31.84  23.30  27.24  28.76  80     0   286  3.0
  9  4783 K5   259  3664 K6   608  2312 K5   214  9485 16585  5.2  4.3  4.68  0.19  30.81  23.28  26.74  28.29  80     0   261  3.3
 10  4159 K5   374  3881 K6   870  1879 K5   146  8037 15755  4.9  4.4  3.67  0.15  28.72  20.91  24.71  26.39  77     2   203  3.8
 11  3418 K5   344  3842 K6   967  1472 K5   136  6649 15020  4.8  4.4  2.83  0.12  25.72  16.65  21.16  23.06  77    15   101  3.8
 12  2995 K5   265  3744 K6   905  1262 K5   166  5954 14660  5.1  4.6  2.52  0.09  23.39  13.56  18.43  20.72  79    51    56  3.6
 13  4789 K5   247  4318 K6   691  2048 K5   168  8988 16524  4.6  4.1  3.40  0.15  27.52  18.26  22.82  24.66  77   243  1916  3.7
 1991
  1  3298 I5   613  3860 I6  1674  1381 I5   308  6359 14940  5.4  4.4  2.84  0.07  24.69  15.22  19.83  22.18  80    31    81  3.8
  2  4090 I5  1066  4507 I6  2577  1582 I5   450  7604 15670  4.8  4.2  2.38  0.08  23.41  13.45  18.43  20.59  71    43    46  4.3
  3  4678 I5  1625  4501 I6  2933  1815 I5   509  9110 16525  4.7  4.1  2.69  0.10  25.45  14.94  20.54  22.58  73    26    83  4.4
  4  5705 I5  1107  4588 I6  1887  2446 I5   485 10378 17351  5.5  4.3  3.26  0.14  28.00  20.11  24.02  25.53  76     0   172  4.6
  5  6257 I5   998  4480 I6  1929  2849 I5   550 11112 18002  5.2  4.3  3.91  0.18  29.95  22.31  26.16  27.51  75     0   242  4.5
  6  5909 I5   938  3695 I6  1648  3079 I5   508 11353 18294  6.6  5.2  4.59  0.21  31.26  22.83  26.73  28.11  76     0   261  3.5
  7  5944 I5   860  3845 I6  1557  3020 I5   474 11185 18055  6.2  4.6  4.74  0.23  32.22  23.38  27.14  28.51  79     0   294  3.1
  8  5553 I5   844  3650 I6  1486  2927 I5   473 10581 17401  5.4  4.0  4.75  0.26  32.37  23.41  27.59  29.20  78     0   296  3.1
  9  5054 I5   633  3423 I6  1115  2657 I5   358  9505 16601  5.7  4.4  4.48  0.27  31.10  23.55  27.17  28.80  78     0   270  3.1
 10  3985 I5   839  2997 I6  1893  2141 I5   446  8060 15767  5.8  5.0  3.85  0.26  28.58  21.12  24.78  26.37  76     0   202  3.8
 11  3034 I5   728  2321 I6  1591  1791 I5   278  6667 15030  6.1  5.0  2.99  0.25  24.89  15.79  20.30  22.17  75    32    92  4.1
 12  2722 I5   615  2177 I6  1402  1645 I5   285  5957 14660  5.6  4.5  2.87  0.25  24.89  14.55  19.56  22.02  77    23    66  3.5
 13  4686 I5  1237  3670 I6   827  2278 I5   623  8989 16525  5.6  4.5  3.61  0.19  28.07  19.22  23.52  25.30  76   154  2105  3.8
 1992
  1  2790 I5   782  2234 I6  1385  1631 I5   254  6352 14935  6.0  4.9  2.56  0.26  21.95  10.55  16.25  18.96  76    90    26  3.8
  2  3339 I5   961  2250 I6  1790  1996 I5   380  7617 15677  6.9  6.0  2.54  0.27  23.86  13.68  18.60  20.67  77    38    51  3.6
  3  4689 I5  1179  3259 I6  2204  2473 I5   549  9146 16545  5.7  4.7  2.38  0.28  24.81  13.77  19.39  21.71  71    34    64  3.5
  4  5367 I5  1173  3252 I6  1744  2949 I5   510 10402 17366  5.9  4.8  2.68  0.30  25.77  17.11  21.35  23.08  70    14   107  4.4
  5  6389 I5   905  4541 I6  1772  2978 I5   519 11122 18014  4.6  3.8  2.80  0.32  28.89  17.82  23.51  25.42  68     1   157  3.7
  6  5111 I5  1186  2219 I6  1411  3386 I5   516 11353 18293  7.2  6.2  4.88  0.33  31.10  22.43  26.11  27.48  82     0   253  3.5
  7  6688 I5   632  4919 I6  1730  2974 I5   693 11176 18045  3.7  2.6  4.12  0.33  32.54  23.59  28.21  29.78  74     0   302  3.2
  8  5283 I5   634  3167 I6  1084  2921 I5   373 10561 17386  6.5  5.3  4.76  0.31  32.01  23.17  27.00  28.61  80     0   287  2.7
  9  4539 I5   979  2494 I6  1256  2780 I5   505  9474 16581  6.8  5.4  4.78  0.26  30.96  23.58  27.19  28.60  79     0   268  3.3
 10  4050 I5   927  3496 I6  2012  1953 I5   471  8024 15754  5.0  4.2  3.21  0.21  28.40  19.96  23.93  25.85  73     0   181  4.0
 11  2853 I5   834  2178 I6  1574  1698 I5   337  6639 15018  6.5  5.6  3.55  0.17  26.32  19.09  22.57  23.95  80    15   146  5.0
 12  3010 I5   628  3277 I6  1806  1417 I5   328  5953 14660  5.3  4.6  2.50  0.14  24.15  13.72  18.78  21.25  80    34    52  3.3
 13  4509 I5  1333  3107 I6   909  2430 I5   658  8985 16523  5.8  4.8  3.40  0.26  27.56  18.21  22.74  24.61  76   225  1894  3.7
 1993
  1  2664 I5   794  2249 I6  1648  1539 I5   270  6376 14951  6.4  5.5  3.11  0.12  24.52  15.90  20.09  22.12  83    22    81  3.7
  2  3610 I5  1055  3210 I6  2045  1804 I5   355  7632 15688  5.8  4.9  2.08  0.12  22.13  11.51  16.93  19.11  77    58    16  4.0
  3  4258 I5  1602  3544 I6  2963  2020 I5   531  9138 16543  5.8  5.1  2.34  0.14  23.80  13.63  18.63  20.46  75    38    50  4.5
  4  5649 I5  1289  4334 I6  2462  2553 I5   605 10398 17366  4.8  4.1  2.13  0.18  25.21  15.17  20.75  22.65  67     9    65  4.3
