722050 ORLANDO INTL ARPT      FL  -5  N28 26  W081 20    29  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3290 K5   430  4391 K6  1252  1202 K5   158  6240 14872  5.2  4.6  2.17  0.08  21.52  10.30  15.60  18.17  74   102    27  3.7
  2  3965 K5   401  4553 K6  1055  1473 K5   167  7514 15638  5.3  4.8  2.19  0.09  22.68  11.37  16.73  19.21  72    68    31  3.9
  3  5010 K5   456  4978 K6   962  1886 K5   177  9060 16535  5.0  4.5  2.34  0.12  25.12  13.60  19.09  21.43  70    34    66  4.1
  4  6005 K5   495  5370 K6   885  2254 K5   174 10366 17396  4.8  4.2  2.56  0.15  27.62  16.12  21.63  24.00  69     7   113  3.9
  5  6375 K5   401  5188 K6   636  2577 K5   134 11129 18076  4.8  4.2  3.24  0.19  30.69  19.63  24.76  26.73  71     0   212  3.6
  6  5833 K5   567  4172 K6   979  2701 K5   234 11382 18375  6.2  5.3  4.40  0.21  31.95  22.43  26.39  28.00  78     0   266  3.1
  7  5849 K5   409  4224 K6   716  2680 K5   176 11198 18120  5.7  4.8  4.70  0.23  32.69  23.36  27.15  28.69  79     0   301  2.8
  8  5445 K5   428  4014 K6   719  2503 K5   201 10554 17434  5.8  5.0  4.82  0.22  32.50  23.54  27.09  28.74  80     0   301  2.9
  9  4751 K5   310  3714 K6   642  2276 K5   163  9428 16594  5.9  5.1  4.54  0.19  31.30  22.89  26.29  28.18  80     0   263  3.2
 10  4189 K5   390  4067 K6   836  1819 K5   103  7941 15726  5.0  4.5  3.48  0.15  28.57  19.32  23.43  25.59  77     3   177  3.5
 11  3459 K5   360  4115 K6   961  1390 K5   127  6529 14956  4.8  4.3  2.64  0.12  25.01  14.84  19.53  21.81  76    25    73  3.6
 12  2978 K5   311  3966 K6   912  1163 K5   129  5824 14580  5.3  4.8  2.36  0.09  22.09  11.60  16.49  18.97  76    82    36  3.5
 13  4763 K5   268  4396 K6   672  1994 K5   128  8930 16525  5.3  4.7  3.29  0.15  27.64  17.42  22.02  24.13  75   320  1863  3.5
 1991
  1  2638 I5   870  2651 I6  1969  1361 I5   297  6233 14868  7.0  6.4  2.68  0.07  23.75  13.91  18.31  20.57  79    45    60  4.5
  2  3586 I5  1325  3567 I6  2967  1571 I5   510  7497 15630  5.9  5.5  2.31  0.08  23.13  12.43  17.45  19.90  67    51    36  4.3
  3  4249 I5  1731  3724 I6  2913  1848 I5   460  9037 16520  5.9  5.4  2.59  0.10  25.19  14.35  19.57  21.53  73    31    76  4.3
  4  5266 I5  1322  3967 I6  2156  2463 I5   450 10349 17384  5.8  5.2  3.13  0.14  28.79  19.00  23.39  25.39  76     0   167  3.8
  5  5438 I5  1458  3762 I6  2229  2659 I5   401 11121 18069  6.0  5.5  3.87  0.18  30.76  21.62  25.52  27.10  78     0   244  3.8
  6  5753 I5  1061  3818 I6  1640  2841 I5   496 11381 18375  6.8  5.8  4.49  0.21  31.71  22.20  26.25  27.95  78     0   259  3.4
  7  5421 I5  1144  3488 I6  1720  2729 I5   392 11204 18129  6.7  5.8  4.69  0.23  32.51  23.43  26.88  28.27  81     0   299  3.6
  8  5296 I5  1062  3373 I6  1529  2770 I5   350 10567 17447  6.5  5.3  4.65  0.25  32.40  23.79  27.34  29.00  80     0   303  3.5
  9  4948 I5  1012  3520 I6  1696  2564 I5   432  9449 16610  5.0  4.4  4.28  0.26  31.78  23.00  26.72  28.82  79     0   272  3.7
 10  3838 I5  1082  3035 I6  2169  2003 I5   413  7965 15739  5.7  5.0  3.53  0.26  28.44  19.25  23.14  25.33  78     0   171  3.9
 11  2829 I5   889  2099 I6  1748  1730 I5   327  6546 14965  6.3  5.4  2.79  0.25  23.59  13.71  18.26  20.40  74    52    61  4.4
