722053 ORLANDO EXECUTIVE AP   FL  -5  N28 33  W081 20    33  1009
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3213 K5   457  4258 K6  1264  1190 K5   143  6221 14862  4.4  4.1  2.13  0.08  21.34  10.91  15.87  18.11  71    97    29  3.3
  2  3870 K5   442  4339 K6  1069  1497 K5   150  7498 15632  4.6  4.3  2.15  0.09  22.54  12.01  16.96  19.16  70    63    34  3.6
  3  4919 K5   545  4864 K6  1074  1866 K5   160  9049 16534  4.2  3.9  2.30  0.12  24.96  14.27  19.33  21.42  68    31    71  3.9
  4  5932 K5   533  5234 K6   925  2280 K5   171 10361 17401  3.8  3.4  2.52  0.15  27.54  16.97  21.90  23.99  67     6   123  3.7
  5  6296 K5   390  5077 K6   628  2574 K5   133 11130 18086  3.6  3.3  3.23  0.19  30.64  20.57  25.13  26.86  69     0   226  3.5
  6  5827 K5   528  4137 K6   873  2730 K5   239 11386 18385  4.7  3.9  4.39  0.21  31.93  23.10  26.74  28.17  75     0   276  3.0
  7  5963 K5   369  4339 K6   532  2696 K5   190 11201 18130  4.0  3.2  4.72  0.23  32.80  23.96  27.59  28.96  76     1   312  2.7
  8  5403 K5   401  3935 K6   648  2521 K5   216 10551 17441  4.4  3.6  4.85  0.22  32.49  24.05  27.47  28.94  78     0   309  2.7
  9  4777 K5   336  3778 K6   628  2264 K5   153  9420 16595  4.5  3.9  4.50  0.19  31.25  23.38  26.61  28.29  78     0   270  3.0
 10  4157 K5   399  4002 K6   860  1827 K5   126  7927 15722  4.1  3.7  3.42  0.15  28.57  20.08  23.85  25.73  76     3   189  3.2
 11  3415 K5   386  4049 K6   953  1377 K5   109  6510 14946  4.1  3.8  2.61  0.12  24.92  15.47  19.86  21.86  74    23    79  3.3
 12  2940 K5   330  3887 K6   945  1166 K5   112  5804 14565  4.5  4.2  2.30  0.09  21.88  12.12  16.69  18.86  74    79    38  3.2
 13  4726 K5   259  4325 K6   655  1999 K5   125  8922 16525  4.2  3.8  3.26  0.15  27.57  18.07  22.33  24.20  73   304  1954  3.3
 1991
  1  2547 J5   939  2464 J6  2135  1361 J5   263  6214 14858  6.9  6.5  2.54  0.07  23.38  13.98  18.28  20.18  78    45    56  3.9
  2  3554 J5  1321  3534 J6  2748  1572 J5   397  7481 15620  5.9  5.2  2.19  0.08  22.77  12.78  17.53  19.69  68    51    35  4.1
  3  4037 J5  1639  3534 J6  2916  1832 J5   477  9026 16520  5.8  5.5  2.48  0.10  24.98  14.95  19.73  21.44  71    30    80  4.4
  4  5293 J5  1368  4145 J6  2434  2428 J5   553 10344 17389  5.9  5.1  3.16  0.14  28.58  19.66  23.65  25.41  74     0   174  3.9
  5  5684 J5  1457  4192 J6  2437  2592 J5   594 11122 18074  5.8  5.0  3.98  0.18  31.15  22.35  26.13  27.62  74     0   261  3.7
  6  5575 J5  1259  3461 J6  1939  3015 J5   478 11385 18383  6.8  5.4  4.54  0.21  32.06  23.34  26.95  28.39  73     0   281  3.4
  7  5810 J5   921  3745 J6  1685  2986 J5   598 11207 18139  6.6  5.0  4.84  0.23  32.63  24.25  27.41  28.62  77     0   313  3.1
  8  5285 J5  1109  3084 J6  1636  2965 J5   296 10565 17457  6.2  5.1  4.83  0.25  32.82  24.80  28.09  29.53  74     0   325  3.1
  9  4815 J5  1153  3326 J6  1698  2572 J5   398  9441 16612  5.1  4.0  4.25  0.26  32.49  24.18  27.58  29.38  73     0   300  3.4
 10  3731 J5   842  2549 J6  1692  2183 J5   404  7951 15736  5.5  4.9  3.47  0.25  29.16  20.49  24.22  26.12  71     1   202  3.6
 11  2687 J5   881  1908 J6  1617  1697 J5   355  6528 14958  6.0  5.4  2.52  0.25  23.92  14.20  18.58  20.58  70    47    69  3.9
 12  2477 J5   827  2248 J6  1853  1397 J5   201  5807 14566  5.5  5.0  2.57  0.25  23.88  13.82  18.47  20.82  74    39    55  3.5
 13  4291 J5  1279  3183 J6   741  2217 J5   628  8923 16526  6.0  5.2  3.45  0.19  28.15  19.07  23.05  24.82  73   213  2152  3.7
 1992
  1  2382 J5   907  1773 J6  1822  1486 J5   313  6207 14852  6.5  6.2  2.37  0.26  20.96  10.50  15.52  17.73  66    94    14  3.9
  2  2839 J5  1068  1605 J6  1726  1895 J5   314  7494 15628  7.2  7.0  2.42  0.27  22.83  13.08  17.48  19.61  72    47    37  4.1
  3  4028 J5  1505  2630 J6  2459  2280 J5   493  9063 16540  5.9  5.6  2.15  0.28  24.32  13.68  18.76  20.81  66    31    52  4.1
  4  4822 J5  1537  2864 J6  2368  2800 J5   483 10369 17406  5.7  5.2  2.53  0.30  25.58  16.16  20.44  22.21  68    15    91  4.1
  5  5986 J5  1228  4123 J6  2110  2900 J5   570 11133 18088  4.4  3.9  2.87  0.32  29.35  18.81  23.72  25.57  67     5   183  3.7
  6  5429 J5  1177  2538 J6  1586  3479 J5   450 11385 18385  6.9  5.4  4.57  0.33  31.60  23.47  26.69  28.00  77     0   276  3.7
  7  6620 J5   612  4613 J6  1320  3109 J5   512 11197 18125  3.6  2.7  4.20  0.33  33.81  24.61  28.62  30.18  69     0   337  2.9
  8  4826 J5  1353  2525 J6  1785  2950 J5   393 10544 17434  7.3  6.1  4.78  0.30  32.04  23.39  26.56  28.08  79     0   291  2.8
  9  4361 J5  1026  2530 J6  1732  2623 J5   395  9408 16589  6.0  5.2  4.57  0.26  31.11  23.59  26.40  27.90  81     0   271  2.9
 10  3758 J5  1185  3036 J6  2146  1915 J5   362  7913 15722  5.2  4.7  3.02  0.21  27.37  19.18  22.72  24.44  79     0   153  3.4
 11  2430 J5   862  1744 J6  1981  1564 J5   328  6500 14940  6.9  6.4  3.36  0.17  25.23  17.45  20.94  22.37  82    27   117  4.0
 12  2312 J5   931  2239 J6  1999  1249 J5   257  5803 14567  5.8  5.4  2.46  0.14  22.24  12.83  17.16  19.30  78    57    32  3.1
 13  4149 J5  1459  2685 J6   909  2354 J5   724  8918 16523  5.9  5.3  3.27  0.26  27.20  18.06  22.08  23.85  74   276  1854  3.6
 1993
  1  2210 J5   880  1597 J6  1871  1429 J5   321  6231 14869  7.3  6.8  2.96  0.12  23.46  14.71  18.65  20.56  80    42    66  3.3
  2  3278 J5  1246  2964 J6  2405  1638 J5   352  7509 15639  6.1  5.6  1.99  0.12  21.36  10.65  15.49  17.65  69    72     7  3.9
  3  4314 J5  1615  3658 J6  2825  1959 J5   465  9054 16538  5.9  5.4  2.19  0.14  23.35  12.55  17.55  19.47  69    50    38  4.3
  4  5576 J5  1464  4542 J6  2755  2421 J5   642 10365 17405  4.7  4.1  1.99  0.18  25.60  14.37  19.81  22.08  65     9    59  4.0
  5  5595 J5  1660  3881 J6  2407  2798 J5   469 11133 18089  5.1  4.4  3.04  0.21  29.20  19.53  24.00  25.74  66     0   187  3.6
  6  6094 J5  1194  4344 J6  1987  2844 J5   476 11387 18387  5.3  4.3  3.96  0.23  32.33  23.01  26.91  28.38  73     0   280  3.0
  7  5796 J5  1206  3693 J6  2052  2924 J5   536 11200 18128  5.7  4.6  4.75  0.24  33.50  24.14  27.85  29.29  76     0   325  2.4
  8  5666 J5  1013  3998 J6  1855  2742 J5   543 10548 17438  5.5  4.3  4.47  0.23  32.92  24.07  27.67  29.17  75     0   315  2.8
  9  4886 J5   939  3666 J6  1693  2416 J5   449  9415 16589  5.6  4.5  4.47  0.20  31.60  23.27  26.72  28.55  77     0   273  2.6
 10  3505 J5  1272  2938 J6  2519  1772 J5   382  7922 15717  6.5  5.9  3.75  0.16  28.49  20.15  23.75  25.46  84     5   191  2.9
 11  2863 J5  1163  2859 J6  2448  1416 J5   307  6507 14940  6.0  5.3  3.14  0.12  24.99  15.75  20.02  21.86  82    25    86  3.3
 12  2664 J5   894  3105 J6  2421  1252 J5   316  5803 14565  5.2  4.6  2.21  0.09  20.54   9.66  14.97  17.30  71   113    13  3.2
 13  4371 J5  1404  3437 J6   799  2134 J5   625  8923 16525  5.7  5.0  3.24  0.17  27.28  17.65  21.95  23.79  74   316  1840  3.3
 1994
  1  2737 J5  1014  2973 J6  2505  1317 J5   338  6223 14866  6.8  5.7  2.34  0.08  21.04  10.93  15.86  18.00  77    91    19  3.5
  2  3048 J5   955  2351 J6  2075  1748 J5   313  7496 15632  7.1  6.5  2.46  0.09  24.14  14.62  18.84  20.75  76    31    61  3.6
