722055 OCALA MUNI (AWOS)      FL  -5  N29 10  W082 13    27  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3186 K6   328  4303 K7   973  1159 K6   113  6121 14804  5.1  4.4  2.05  0.08  20.20   6.86  13.31  16.27  70   160    11  2.5
  2  3992 K6   346  4758 K7   918  1392 K6   159  7413 15599  4.7  4.2  2.05  0.09  21.92   8.49  14.97  17.99  67   107    19  2.5
  3  5049 K6   464  5201 K7   923  1775 K6   156  8991 16531  4.3  3.7  2.20  0.12  24.33  10.44  17.44  20.19  66    65    36  2.7
  4  6177 K6   268  5750 K7   529  2150 K6   152 10337 17427  3.6  3.2  2.45  0.15  26.97  12.94  19.95  22.84  65    27    76  2.4
  5  6612 K6   317  5632 K7   535  2478 K6   150 11136 18138  3.4  3.1  3.18  0.19  30.43  17.06  23.69  26.07  68     3   171  2.2
  6  6141 K6   597  4756 K7   902  2590 K6   117 11407 18449  4.2  3.3  4.33  0.21  31.45  21.07  25.61  27.43  76     0   238  1.9
  7  6171 K6   688  4925 K7  1028  2494 K6    92 11214 18187  3.5  2.8  4.69  0.23  32.28  21.91  26.39  28.13  78     0   272  1.7
  8  5759 K6   712  4727 K7  1076  2330 K6   111 10538 17477  3.6  2.9  4.81  0.22  31.67  21.91  26.02  27.87  79     1   263  1.7
  9  5032 K6   525  4377 K7   945  2121 K6   138  9373 16603  4.0  3.3  4.39  0.19  30.89  20.85  25.17  27.40  76     1   228  1.9
 10  4301 K6   313  4436 K7   688  1717 K6   122  7851 15699  4.0  3.5  3.29  0.15  27.48  16.35  21.51  24.02  74    12   123  2.0
 11  3527 K6   256  4400 K7   804  1305 K6   135  6415 14896  4.2  3.7  2.47  0.11  24.16  11.47  17.58  20.43  72    61    45  2.1
 12  2944 K6   270  4018 K7   894  1127 K6   137  5701 14502  5.0  4.5  2.18  0.09  20.55   7.28  13.70  16.76  70   150    13  2.1
 13  4908 K6   162  4774 K7   337  1886 K6    78  8875 16526  4.1  3.5  3.17  0.15  26.86  14.72  20.45  22.95  72   588  1495  2.1
 1991
  1  2834 J8   971  3437 J8  1953  1150 J8   283  6114 14801  7.0  6.5  2.50  0.07  21.10  10.88  15.67  17.82  74    97    24  2.8
  2  4192 J8  1104  5370 J8  2528  1241 J8   392  7395 15586  4.1  3.9  2.08  0.08  23.17  10.45  16.57  19.53  63    66    23  2.2
  3  4993 J8  1453  5143 J8  2483  1676 J8   441  8967 16517  4.6  4.3  2.44  0.10  24.18  11.99  18.08  20.25  62    55    48  3.1
  4  6514 J8   558  6494 J8  1041  1921 J8   426 10320 17412  3.5  3.2  3.14  0.14  27.78  16.73  21.97  24.12  60    15   133  2.2
  5  6963 J8   391  6282 J8  1200  2282 J8   408 11128 18128  3.4  3.1  3.88  0.18  30.56  19.49  24.69  26.63  73     0   208  1.9
  6  7056 J8   517  6222 J8  1504  2430 J8   612 11406 18447  3.7  3.0  4.44  0.21  31.14  20.25  25.26  27.19  73     0   221  1.8
  7  7090 J8   288  6406 J8  1106  2339 J8   473 11220 18196  2.8  2.4  4.77  0.23  31.32  21.27  26.15  27.65  75     7   254  2.3
  8  6498 J8   568  5584 J8  1556  2374 J8   638 10553 17488  3.5  3.1  4.74  0.25  31.70  20.98  26.06  27.96  75     5   253  1.9
  9  5599 J8   647  4947 J8  1298  2186 J8   477  9395 16616  3.6  3.0  4.14  0.26  31.17  16.98  24.34  27.22  72    25   197  1.9
 10  4224 J8   847  3813 J8  1689  1875 J8   482  7875 15711  4.9  4.2  3.33  0.25  26.23  13.67  20.08  22.49  73    49    99  2.2
 11  3233 J8   651  2934 J8  1312  1670 J8   308  6432 14907  5.7  5.0  2.28  0.25  22.61   9.00  16.12  18.83  71   109    34  2.1
 12  2866 J8   470  2925 J8  1207  1422 J8   257  5704 14505  6.1  5.6  2.44  0.25  22.24   9.59  15.97  18.57  73   103    28  2.1
