722056 DAYTONA BEACH INTL AP  FL  -5  N29 11  W081  4     9  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3211 K5   374  4380 K6  1069  1158 K5   121  6118 14806  4.9  4.3  2.16  0.08  20.23   9.43  14.66  17.12  75   127    18  3.2
  2  3834 K5   374  4406 K6   958  1441 K5   151  7410 15598  5.0  4.5  2.17  0.09  21.07  10.31  15.55  17.81  74    94    20  3.4
  3  4981 K5   460  5123 K6   932  1782 K5   143  8989 16531  4.5  3.9  2.31  0.11  23.42  12.75  18.06  20.14  72    51    44  3.7
  4  6092 K5   413  5619 K6   699  2173 K5   152 10336 17429  4.1  3.5  2.54  0.15  26.01  15.42  20.77  22.85  71    15    87  3.5
  5  6465 K5   374  5416 K6   597  2502 K5   152 11136 18138  4.2  3.5  3.25  0.19  29.16  19.13  24.12  25.83  72     1   181  3.3
  6  5973 K5   578  4478 K6   957  2645 K5   232 11407 18451  5.2  4.4  4.40  0.21  30.97  22.25  26.13  27.60  78     0   248  2.8
  7  6028 K5   398  4546 K6   659  2638 K5   198 11214 18189  4.7  3.9  4.73  0.22  31.96  23.14  26.97  28.45  79     0   286  2.5
  8  5575 K5   414  4320 K6   665  2451 K5   190 10538 17478  4.8  3.9  4.86  0.21  31.56  23.36  26.94  28.46  80     0   283  2.5
  9  4788 K5   342  3926 K6   613  2197 K5   146  9372 16603  5.1  4.3  4.52  0.19  30.18  22.89  26.20  27.76  79     0   246  3.0
 10  4088 K5   361  3984 K6   783  1792 K5   109  7849 15699  4.9  4.4  3.46  0.15  27.52  19.38  23.29  25.06  76     5   163  3.3
 11  3352 K5   350  4054 K6   859  1345 K5    90  6412 14894  4.9  4.4  2.64  0.11  23.92  14.26  18.91  20.99  77    38    61  3.1
 12  2891 K5   317  3935 K6   891  1129 K5   114  5698 14499  5.2  4.7  2.32  0.09  21.21  11.25  16.02  18.28  78    95    30  3.0
 13  4773 K5   192  4515 K6   516  1938 K5   111  8873 16526  4.8  4.1  3.28  0.15  26.43  16.96  21.47  23.36  76   427  1667  3.1
 1991
  1  2745 I5   959  3117 I6  2326  1261 I5   279  6112 14803  6.7  5.6  2.64  0.07  22.18  12.47  17.20  19.51  81    66    35  4.0
  2  3882 I5  1216  4365 I6  2827  1475 I5   473  7393 15585  5.2  4.3  2.24  0.08  22.00  10.93  16.47  18.95  72    73    21  4.1
  3  4476 I5  1733  4263 I6  3061  1767 I5   434  8965 16515  5.6  4.3  2.51  0.10  24.25  12.90  18.73  20.74  73    51    58  4.7
  4  5625 I5  1348  4916 I6  2531  2197 I5   548 10319 17416  5.1  3.9  3.25  0.14  27.60  18.48  22.73  24.44  79     5   146  3.7
  5  6044 I5  1421  4704 I6  2316  2576 I5   518 11128 18128  5.3  4.0  4.04  0.18  29.95  21.37  25.55  26.90  78     0   227  3.8
  6  6096 I5  1331  4281 I6  2019  2878 I5   579 11406 18450  6.5  4.7  4.60  0.20  30.87  22.38  26.05  27.48  79     0   249  3.4
  7  5874 I5  1216  4255 I6  2003  2674 I5   409 11221 18197  6.0  4.4  4.89  0.22  32.39  23.31  26.82  28.36  81     0   295  2.9
  8  5773 I5  1211  4385 I6  2040  2594 I5   447 10553 17493  5.6  3.6  4.90  0.25  32.27  23.35  27.26  28.92  80     0   294  3.1
  9  5242 I5  1170  4181 I6  1733  2353 I5   364  9394 16618  4.6  3.5  4.35  0.26  30.78  23.11  26.81  28.50  77     0   259  3.9
 10  4059 I5   871  3298 I6  1740  2034 I5   374  7873 15714  4.9  4.0  3.57  0.25  27.53  18.74  22.87  24.95  77     1   150  3.7
 11  3021 I5   875  2738 I6  1831  1604 I5   319  6430 14904  5.9  4.7  2.62  0.24  22.84  12.98  17.70  19.73  75    64    52  3.7
 12  2596 I5   670  2390 I6  1440  1452 I5   225  5701 14501  5.3  4.3  2.62  0.25  22.76  12.06  17.09  19.69  79    67    39  3.5
 13  4619 I5  1333  3908 I6   810  2072 I5   551  8875 16527  5.6  4.3  3.52  0.19  27.12  17.67  22.11  24.01  78   328  1824  3.7
 1992
  1  2715 I5   995  2596 I6  1844  1425 I5   289  6104 14795  6.2  5.0  2.40  0.26  18.88   8.32  13.63  15.98  74   151     4  3.8
  2  3056 I5  1070  1892 I6  1811  1932 I5   462  7406 15594  7.2  6.3  2.46  0.27  21.44  11.49  16.01  18.04  78    81    27  4.0
  3  4462 I5  1324  3345 I6  2379  2255 I5   493  9003 16534  5.4  4.4  2.22  0.28  22.94  11.65  17.32  19.57  70    63    30  4.0
  4  5665 I5  1383  4353 I6  2136  2545 I5   471 10345 17434  5.0  3.7  2.60  0.30  24.30  14.68  19.56  21.44  72    27    62  4.2
  5  6458 I5  1228  4719 I6  1969  2915 I5   611 11140 18142  4.2  3.3  2.92  0.31  28.01  16.75  22.32  24.27  74     9   135  3.8
  6  5805 I5  1211  3431 I6  1650  3194 I5   413 11407 18449  6.4  5.0  4.66  0.32  31.19  22.45  26.05  27.52  82     0   255  3.4
  7  6896 I5   484  5469 I6  1499  2803 I5   643 11211 18184  3.4  2.2  4.22  0.32  33.43  23.17  28.10  29.98  75     0   309  3.4
  8  5302 I5   980  3109 I6  1361  2999 I5   452 10531 17472  7.3  5.2  4.81  0.30  31.40  22.30  26.03  27.67  83     0   264  3.1
  9  4573 I5  1234  2880 I6  1631  2593 I5   549  9361 16599  6.7  5.2  4.66  0.26  30.17  22.69  26.15  27.70  84     0   243  3.4
 10  3797 I5  1242  3257 I6  2361  1849 I5   439  7835 15695  5.3  4.7  3.08  0.21  26.56  18.05  21.97  23.69  79     0   123  4.1
