722057 ORLANDO SANFORD AIRPOR FL  -5  N28 47  W081 15    17  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3273 K5   370  4437 K6  1093  1171 K5   144  6183 14842  4.2  3.9  2.14  0.08  21.06   9.94  15.20  17.70  70   111    24  3.4
  2  3953 K5   326  4572 K6   844  1441 K5   140  7466 15620  4.4  4.1  2.16  0.09  22.23  11.05  16.34  18.78  69    76    28  3.5
  3  5130 K5   429  5277 K6   888  1805 K5   168  9027 16533  3.8  3.5  2.30  0.11  24.76  13.26  18.77  21.09  67    39    60  3.8
  4  6174 K5   337  5662 K6   667  2195 K5   179 10352 17411  3.4  3.0  2.52  0.15  27.39  15.94  21.38  23.71  66     9   109  3.6
  5  6557 K5   445  5574 K6   733  2453 K5   151 11133 18105  3.2  2.9  3.23  0.19  30.54  19.54  24.64  26.59  68     1   209  3.4
  6  6204 K5   628  4820 K6   928  2589 K5   158 11394 18409  3.7  3.1  4.39  0.21  31.99  22.52  26.46  28.04  74     0   268  2.9
  7  6084 K5   546  4642 K6   906  2589 K5   186 11206 18151  3.4  2.8  4.73  0.23  32.84  23.52  27.34  28.84  75     0   305  2.6
  8  5739 K5   505  4562 K6   756  2406 K5   185 10547 17455  3.2  2.7  4.85  0.22  32.56  23.62  27.25  28.85  76     0   303  2.6
  9  5022 K5   497  4320 K6   928  2148 K5   185  9402 16599  3.5  3.0  4.50  0.19  31.09  22.75  26.17  28.02  77     0   258  2.9
 10  4355 K5   362  4508 K6   858  1730 K5   159  7898 15712  3.6  3.3  3.44  0.15  28.35  19.20  23.26  25.40  74     3   172  3.1
 11  3475 K5   339  4228 K6   968  1344 K5   137  6474 14928  4.1  3.7  2.62  0.11  24.75  14.55  19.25  21.51  73    29    69  3.2
 12  2981 K5   304  4046 K6   980  1140 K5   144  5765 14542  4.6  4.3  2.31  0.09  21.74  11.13  16.06  18.53  73    91    32  3.2
 13  4912 K5   232  4721 K6   575  1918 K5   128  8904 16526  3.8  3.4  3.27  0.15  27.44  17.25  21.84  23.92  72   359  1836  3.2
 1991
  1  2413 J5   879  2187 J6  1890  1351 J5   285  6177 14838  7.2  6.4  2.57  0.07  23.36  13.66  17.99  19.88  80    49    55  3.5
  2  3440 J5  1322  3342 J6  2732  1582 J5   434  7449 15612  6.0  5.3  2.21  0.08  22.69  12.61  17.32  19.52  70    52    33  3.1
  3  4264 J5  1580  3552 J6  2871  1990 J5   612  9004 16520  6.0  5.3  2.49  0.10  24.91  14.62  19.61  21.32  70    36    80  3.3
  4  5017 J5  1337  3644 J6  2590  2520 J5   577 10335 17399  6.3  5.5  3.19  0.14  28.69  19.05  23.31  25.23  76     0   166  2.9
  5  5015 J5  1524  3286 J6  2198  2718 J5   519 11124 18097  6.6  5.9  4.00  0.18  31.09  21.37  25.54  27.27  78     0   245  3.0
  6  5826 J5  1413  4044 J6  2206  2831 J5   518 11393 18409  7.5  5.7  4.56  0.20  31.58  22.38  26.19  27.81  79     0   260  2.3
  7  5328 J5  1425  3048 J6  1875  3036 J5   349 11212 18161  8.1  6.2  4.86  0.22  32.90  23.51  27.07  28.54  81     0   306  2.1
  8  5175 J5  1016  2916 J6  1723  3014 J5   498 10561 17469  6.9  5.5  4.85  0.25  33.04  24.12  27.83  29.34  79     0   318  2.1
  9  4652 J5  1000  2878 J6  1654  2704 J5   452  9424 16618  5.3  4.4  4.28  0.26  31.86  23.50  26.98  28.86  79     0   280  2.4
