722060 JACKSONVILLE INTL ARPT FL  -5  N30 30  W081 42     8  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2955 K5   388  4003 K6  1072  1121 K5   103  5903 14677  5.4  4.9  1.94  0.08  18.06   6.04  11.72  14.36  76   202     7  3.2
  2  3740 K5   429  4487 K6  1062  1350 K5   151  7226 15526  5.3  4.8  1.93  0.09  19.55   7.25  13.14  15.78  74   149     9  3.3
  3  4802 K5   445  4925 K6   901  1774 K5   148  8861 16523  4.9  4.3  2.09  0.11  22.61  10.08  16.24  18.67  72    89    28  3.6
  4  5962 K5   364  5506 K6   759  2160 K5   173 10281 17486  4.4  3.8  2.35  0.15  25.73  13.03  19.39  21.89  71    32    63  3.4
  5  6421 K5   453  5378 K6   807  2509 K5   174 11146 18251  4.4  3.9  3.11  0.19  29.36  17.62  23.34  25.39  73     2   162  3.2
  6  6030 K5   513  4487 K6   991  2684 K5   262 11448 18587  5.4  4.6  4.25  0.21  31.51  21.38  25.84  27.55  79     0   244  2.9
  7  6145 K5   435  4707 K6   795  2635 K5   195 11239 18313  5.0  4.1  4.65  0.23  32.77  22.74  27.00  28.68  79     0   292  2.6
  8  5541 K5   425  4189 K6   824  2513 K5   221 10507 17555  5.2  4.4  4.77  0.22  32.01  22.81  26.72  28.40  81     0   281  2.6
  9  4624 K5   488  3763 K6   918  2180 K5   160  9270 16619  5.4  4.8  4.25  0.19  29.88  21.19  25.05  26.97  82     0   216  2.9
 10  3903 K5   421  3904 K6   881  1691 K5   125  7683 15649  5.0  4.5  3.15  0.15  26.42  16.12  20.87  23.20  80    15   106  2.8
 11  3222 K5   307  4016 K6   858  1266 K5   128  6206 14785  4.8  4.4  2.37  0.11  22.32  10.46  16.05  18.67  79    87    29  2.8
 12  2670 K5   303  3677 K6   903  1073 K5   109  5477 14358  5.5  5.0  2.08  0.09  18.58   6.89  12.38  15.03  79   183    10  2.9
 13  4668 K5   256  4420 K6   675  1913 K5   134  8771 16527  5.1  4.5  3.08  0.15  25.73  14.63  19.81  22.05  77   759  1448  3.0
 1991
  1  2107 I5  1120  2032 I6  2268  1149 I5   275  5897 14671  7.8  7.3  2.48  0.07  18.31   8.47  13.30  15.24  83   165    12  3.5
  2  3491 I5  1215  3756 I6  2770  1499 I5   412  7207 15513  6.0  5.3  2.15  0.08  20.63   8.75  14.57  17.20  70   115    13  3.8
  3  4326 I5  1577  3962 I6  2939  1843 I5   547  8836 16507  6.5  5.2  2.36  0.10  23.98  12.22  17.87  19.86  69    59    52  4.4
  4  5067 I5  1414  3752 I6  2432  2454 I5   533 10262 17473  6.4  5.5  2.99  0.14  27.41  17.13  21.85  23.84  79     6   124  3.2
  5  5558 I5  1339  3894 I6  2188  2707 I5   439 11136 18240  6.3  5.4  3.91  0.18  30.76  21.15  25.49  27.10  78     0   236  3.3
  6  5592 I5  1334  3518 I6  1905  2996 I5   497 11447 18586  6.2  5.2  4.35  0.20  31.46  21.55  25.98  27.69  78     0   245  3.2
  7  5678 I5  1003  3665 I6  1615  2890 I5   420 11246 18322  6.7  5.8  4.88  0.22  33.57  23.69  27.50  29.10  79     0   319  3.2
  8  5367 I5   987  3477 I6  1642  2857 I5   405 10523 17570  6.0  4.6  4.76  0.25  32.86  23.40  27.30  29.08  79     0   304  3.0
  9  4507 I5  1431  3286 I6  2144  2384 I5   496  9293 16636  5.0  4.4  4.10  0.26  31.09  21.06  25.58  27.83  79     0   232  3.3
 10  3612 I5  1162  2741 I6  1931  1981 I5   367  7708 15664  5.3  4.8  3.08  0.25  26.93  16.10  21.20  23.70  78     7   106  3.6
 11  2813 I5   857  2333 I6  1634  1613 I5   346  6224 14797  6.2  5.2  2.34  0.24  20.64   8.91  14.54  17.09  75   128    21  3.3
 12  2256 I5   824  2000 I6  1635  1307 I5   282  5480 14360  6.0  5.4  2.47  0.24  20.15   8.01  14.05  16.77  79   152    21  3.5
 13  4198 I5  1318  3201 I6   729  2140 I5   658  8772 16528  6.2  5.3  3.32  0.19  26.48  15.87  20.77  22.87  77   633  1687  3.4
 1992
  1  2311 I5  1024  1872 I6  1681  1383 I5   326  5889 14668  6.5  5.9  2.10  0.25  17.25   5.63  11.27  13.64  73   216     2  3.8
  2  2842 I5  1227  1913 I6  2163  1751 I5   436  7221 15519  7.2  6.4  2.30  0.27  20.03   9.34  14.26  16.49  78   120    14  3.6
  3  4114 I5  1353  2771 I6  2111  2281 I5   390  8875 16530  5.7  5.0  1.90  0.28  22.34   9.44  15.76  18.11  67    96    20  3.6
  4  5265 I5  1718  3819 I6  2582  2559 I5   579 10290 17492  5.0  4.3  2.34  0.30  24.16  12.16  18.28  20.61  70    52    47  3.6
  5  5950 I5  1569  4186 I6  2594  2852 I5   741 11149 18254  4.7  4.0  2.73  0.32  28.08  16.02  21.88  23.96  72    10   126  3.6
  6  5602 I5  1124  3042 I6  1603  3295 I5   511 11448 18586  6.5  5.7  4.30  0.33  31.81  22.35  26.22  27.68  80     0   262  3.3
  7  6300 I5   767  4391 I6  1445  2987 I5   407 11235 18308  4.7  3.7  4.18  0.33  34.37  23.31  28.16  29.92  74     0   326  3.2
  8  5077 I5  1196  2647 I6  1597  3109 I5   513 10499 17547  6.7  5.6  4.67  0.30  32.51  22.96  26.79  28.53  80     0   292  2.8
  9  4041 I5  1359  2351 I6  1569  2458 I5   506  9258 16613  6.3  5.6  4.53  0.26  29.79  21.77  25.28  26.97  84     0   224  3.1
 10  3402 I5  1278  3013 I6  2613  1712 I5   395  7668 15642  4.9  4.6  2.85  0.21  25.60  14.81  19.77  22.27  81    13    71  3.2
 11  2586 I5   870  2170 I6  1787  1490 I5   325  6195 14780  7.1  6.3  3.00  0.17  22.45  12.90  17.30  19.21  82    86    66  3.9
 12  2181 I5   840  2125 I6  1720  1215 I5   259  5475 14360  6.5  6.0  2.47  0.14  18.93   7.98  13.12  15.62  80   160     9  3.5
 13  4139 I5  1479  2858 I6   868  2258 I5   727  8767 16525  6.0  5.2  3.11  0.26  25.61  14.89  19.84  21.92  77   753  1459  3.4
 1993
  1  2148 I5  1100  1779 I6  2140  1278 I5   309  5914 14685  7.5  6.9  2.54  0.12  19.93  10.17  14.71  16.87  83   121    20  3.7
  2  3152 I5  1408  3044 I6  2754  1476 I5   364  7237 15534  6.2  5.4  1.71  0.12  17.52   5.98  11.73  14.07  73   184     0  3.7
  3  4170 I5  1772  3737 I6  3087  1831 I5   443  8866 16527  5.8  5.1  2.04  0.14  21.13  10.07  15.22  17.04  70   106    21  4.8
  4  5999 I5  1500  5542 I6  2836  2136 I5   602 10285 17489  4.2  3.3  1.69  0.18  24.11  10.65  17.61  20.14  66    58    29  4.2
  5  5979 I5  1502  4734 I6  2483  2598 I5   457 11149 18255  4.7  4.1  2.79  0.21  28.36  16.74  22.58  24.62  71     1   132  3.5
  6  6280 I5  1130  4368 I6  2004  2990 I5   560 11449 18589  4.8  4.2  3.78  0.23  32.74  20.91  26.17  28.17  76     0   255  3.3
  7  6488 I5   842  4808 I6  1890  2899 I5   668 11238 18309  4.9  3.8  4.68  0.24  34.46  23.03  27.92  29.75  79     0   323  2.9
  8  5608 I5  1183  4162 I6  1848  2635 I5   487 10504 17551  5.3  4.3  4.25  0.23  32.73  22.48  26.96  28.81  82     0   287  2.8
  9  5129 I5   709  4136 I6  1556  2380 I5   454  9265 16614  4.4  3.8  4.22  0.20  31.47  21.12  25.56  27.89  82     0   239  2.8
 10  3140 I5  1403  2501 I6  2340  1677 I5   365  7678 15643  6.6  6.1  3.48  0.16  25.52  16.03  20.26  22.10  87    10    86  3.1
 11  2770 I5  1057  2917 I6  2237  1331 I5   351  6202 14780  5.9  5.4  2.80  0.12  21.63  11.02  15.97  18.13  82    87    27  3.5
 12  2488 I5   876  2960 I6  2326  1180 I5   283  5476 14355  5.9  4.9  1.93  0.09  16.61   4.83  10.49  12.96  75   237     1  3.3
 13  4446 I5  1637  3724 I6  1098  2034 I5   657  8772 16528  5.5  4.8  2.99  0.17  25.52  14.42  19.60  21.71  77   804  1420  3.5
 1994
  1  2546 I5  1078  2816 I6  2668  1234 I5   356  5906 14679  6.4  5.8  2.09  0.08  16.18   5.20  10.47  12.73  76   239     2  3.6
  2  3298 I5   919  3028 I6  1917  1607 I5   369  7223 15529  6.4  5.7  2.17  0.09  20.97   9.78  14.97  17.42  73   104    22  3.6
  3  4849 I5  1300  4922 I6  2616  1786 I5   512  8852 16519  5.0  3.9  2.13  0.11  23.85  10.68  17.22  19.67  69    71    37  4.1
  4  5607 I5  1305  4860 I6  2354  2299 I5   514 10274 17482  5.0  4.1  2.74  0.15  26.75  14.68  20.59  23.01  76    12    83  3.2
