722065 JACKSONVILLE NAS       FL  -5  N30 14  W081 40     9  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2917 K5   361  3656 K6   919  1230 K5    68  5947 14704  5.5  5.3  1.95  0.08  18.47   8.25  13.11  14.96  69   166    12  3.5
  2  3609 K5   463  3890 K6  1049  1530 K5   125  7263 15541  5.8  5.5  1.94  0.09  19.89   9.66  14.50  16.35  67   115    15  3.7
  3  4726 K5   440  4501 K6   859  1938 K5   147  8887 16525  5.3  5.0  2.10  0.11  22.96  12.64  17.59  19.31  66    61    45  4.0
  4  5794 K5   455  4961 K6   831  2338 K5   141 10292 17474  5.1  4.8  2.35  0.15  26.27  16.04  20.97  22.69  63    16   101  3.9
  5  6256 K5   472  4828 K6   857  2693 K5   197 11144 18227  5.4  5.1  3.11  0.19  29.90  20.35  24.80  26.20  66     1   211  3.9
  6  5925 K5   508  4102 K6   893  2819 K5   236 11440 18560  6.5  5.9  4.26  0.21  32.00  23.27  26.98  28.24  72     0   279  3.5
  7  5894 K5   428  4162 K6   759  2756 K5   243 11234 18286  6.3  5.7  4.66  0.23  33.10  24.35  28.06  29.31  72     0   322  3.2
  8  5327 K5   417  3694 K6   758  2619 K5   239 10514 17539  6.5  6.0  4.77  0.22  32.58  24.49  27.94  29.21  74     0   316  3.2
  9  4559 K5   345  3497 K6   589  2249 K5   142  9291 16616  6.2  5.9  4.27  0.19  30.83  23.29  26.60  27.98  75     0   262  3.6
 10  3905 K5   405  3626 K6   904  1828 K5   129  7717 15659  5.4  5.1  3.16  0.15  27.12  18.79  22.72  24.24  72     7   150  3.5
 11  3175 K5   270  3654 K6   715  1381 K5    90  6248 14807  5.1  4.8  2.38  0.11  22.86  13.36  17.89  19.59  71    55    49  3.7
 12  2656 K5   278  3401 K6   791  1167 K5    89  5522 14385  5.7  5.4  2.09  0.09  19.04   9.36  13.93  15.72  72   145    17  3.4
 13  4562 K5   239  3998 K6   614  2046 K5   121  8792 16527  5.7  5.4  3.09  0.15  26.25  16.99  21.26  22.82  70   567  1779  3.6
 1991
  1  2108 J5  1024  1881 J6  1971  1218 J5   310  5940 14699  7.5  7.4  2.48  0.07  19.32   9.97  14.43  16.34  75   128    14  3.0
  2  3395 J5  1194  3362 J6  2951  1591 J5   550  7245 15529  5.9  5.5  2.15  0.08  21.62  10.29  15.73  18.14  61    82    16  3.4
  3  4507 J5  1421  4239 J6  2617  1865 J5   509  8862 16508  5.6  5.0  2.36  0.10  24.15  12.92  18.26  20.19  63    53    59  4.0
  4  4928 J5  1257  3423 J6  2340  2486 J5   503 10274 17461  6.5  6.0  2.99  0.14  28.15  18.07  22.59  24.52  71     2   146  2.7
  5  6219 J5   982  5024 J6  2177  2542 J5   660 11135 18215  5.1  4.6  3.91  0.18  31.07  21.93  25.95  27.42  71     0   253  3.3
  6  6353 J5   922  4667 J6  1526  2821 J5   404 11439 18558  5.8  5.2  4.35  0.20  31.67  22.01  26.21  27.77  72     0   255  2.8
  7  6146 J5   821  4267 J6  1360  2895 J5   438 11241 18294  6.0  5.4  4.88  0.22  32.85  23.63  27.28  28.71  74     0   307  2.7
  8  5455 J5   787  3596 J6  1282  2772 J5   370 10529 17555  6.2  5.7  4.75  0.25  33.05  23.93  27.64  29.26  72     0   315  3.0
  9  4930 J5   879  3621 J6  1285  2475 J5   334  9314 16632  5.5  5.1  4.10  0.26  31.93  22.15  26.40  28.27  70     0   261  3.3
 10  3565 J5  1127  2690 J6  1916  1961 J5   270  7742 15673  5.4  5.3  3.08  0.25  27.97  17.77  22.34  24.56  68     1   142  3.3
 11  3030 J5   656  2880 J6  1568  1564 J5   339  6266 14819  5.1  4.4  2.34  0.24  22.11  11.21  16.14  18.48  61    90    40  3.3
 12  2418 J5   712  2103 J6  1548  1416 J5   324  5525 14387  5.4  4.8  2.47  0.24  21.48  10.29  15.57  17.99  64   104    28  3.2
 13  4421 J5  1496  3480 J6   976  2134 J5   598  8793 16528  5.8  5.4  3.32  0.19  27.11  17.01  21.54  23.47  69   461  1837  3.2
 1992
  1  2508 J5   976  2155 J6  1591  1422 J5   383  5932 14694  6.0  5.6  2.10  0.25  18.26   7.00  12.36  14.70  59   181     4  3.2
  2  2842 J5  1122  1875 J6  1957  1769 J5   357  7259 15534  6.9  6.8  2.30  0.27  20.88  10.64  15.12  17.25  62    93    18  3.7
  3  4415 J5  1315  3180 J6  2184  2293 J5   418  8901 16531  5.8  4.9  1.90  0.28  23.10  11.04  16.79  19.01  53    68    29  3.0
  4  5293 J5  1430  3614 J6  2162  2700 J5   555 10301 17475  4.5  4.2  2.34  0.30  25.42  13.78  19.52  21.68  55    32    70  3.0
  5  5697 J5  1184  3311 J6  2194  3206 J5   642 11148 18229  5.8  5.3  2.73  0.32  29.24  17.06  22.79  24.85  58     9   159  3.0
  6  6200 J5  1037  3793 J6  1609  3246 J5   546 11440 18560  5.2  4.8  4.30  0.33  32.33  22.63  26.50  27.97  73     0   275  2.4
  7  6770 J5   559  5055 J6  1584  2940 J5   679 11231 18282  3.6  3.0  4.18  0.32  34.56  23.53  28.34  30.18  72     0   332  2.5
  8  4574 J5  1022  1885 J6  1019  3147 J5   417 10506 17533  7.9  7.3  4.67  0.30  32.52  23.09  26.75  28.33  78     0   294  2.0
  9  4583 J5  1432  3297 J6  1776  2292 J5   486  9279 16613  5.7  5.3  4.53  0.26  30.94  22.62  25.97  27.58  78     0   253  2.5
 10  3488 J5  1067  2637 J6  1831  1948 J5   366  7702 15652  5.8  5.5  2.86  0.21  26.73  16.06  20.98  23.23  68     3    98  2.8
 11  2769 J5   776  2482 J6  1568  1521 J5   269  6237 14801  6.2  5.8  3.00  0.17  23.51  14.67  18.50  20.25  64    61    83  3.5
 12  2280 J5   804  2527 J6  1910  1134 J5   257  5520 14386  6.2  5.8  2.47  0.14  20.47  10.04  14.58  16.97  67   111    15  3.1
 13  4285 J5  1515  2984 J6   919  2302 J5   747  8788 16524  5.8  5.4  3.11  0.26  26.50  16.01  20.68  22.67  66   557  1630  2.9
 1993
  1  2363 J5   923  2187 J6  1966  1310 J5   260  5957 14711  7.0  6.7  2.54  0.12  21.38  11.94  16.02  18.14  71    83    31  2.8
  2  2791 J5  1154  2062 J6  2055  1666 J5   439  7274 15547  7.1  6.7  1.71  0.12  18.86   7.56  13.05  15.26  61   143     0  3.0
  3  4347 J5  1650  4088 J6  2949  1791 J5   521  8892 16530  5.2  4.9  2.04  0.14  22.19  10.92  15.90  17.85  56    85    30  4.4
  4  5962 J5  1280  5152 J6  2295  2355 J5   558 10297 17478  4.5  3.7  1.69  0.18  25.17  12.37  18.82  21.16  46    25    38  4.1
  5  6004 J5  1270  4334 J6  1957  2799 J5   367 11147 18232  5.6  4.9  2.79  0.21  29.64  18.89  23.86  25.55  61     0   184  3.7
  6  6564 J5  1139  5157 J6  2174  2659 J5   637 11441 18561  4.6  3.9  3.78  0.23  33.58  22.27  27.08  28.87  58     0   288  3.7
  7  5969 J5  1187  4423 J6  2171  2689 J5   483 11233 18283  5.3  4.6  4.68  0.24  35.00  23.79  28.38  30.18  67     0   343  2.6
  8  5175 J5  1298  3497 J6  1918  2686 J5   403 10511 17535  5.3  5.1  4.25  0.23  34.28  24.05  28.28  30.00  73     0   336  2.6
  9  4896 J5  1052  3827 J6  1838  2336 J5   470  9287 16611  4.8  4.6  4.22  0.20  32.89  22.31  26.78  29.03  71     0   278  2.5
 10  3504 J5  1322  2882 J6  2368  1796 J5   420  7712 15656  6.3  5.8  3.48  0.16  27.29  17.89  22.02  23.88  75     8   140  2.6
 11  2818 J5  1025  2846 J6  2268  1401 J5   357  6244 14803  6.1  5.8  2.80  0.12  23.11  12.81  17.59  19.61  71    57    46  3.5
 12  2377 J5   882  2631 J6  2246  1203 J5   289  5521 14384  6.0  5.8  1.93  0.09  17.99   6.71  12.02  14.44  66   189     4  2.8
 13  4397 J5  1571  3591 J6  1076  2058 J5   594  8793 16527  5.7  5.2  2.99  0.17  26.78  15.96  20.82  22.83  65   590  1718  3.2
 1994
  1  2343 J5  1017  2269 J6  2528  1294 J5   328  5949 14707  6.7  6.6  2.09  0.08  17.24   7.23  11.97  14.00  71   194     5  2.9
  2  3008 J5  1003  2523 J6  2313  1652 J5   416  7261 15539  6.8  6.6  2.17  0.09  22.66  11.97  16.59  18.79  68    65    37  2.8
  3  4156 J5  1357  3260 J6  2410  2103 J5   445  8878 16521  5.6  5.3  2.13  0.11  25.06  12.18  18.48  20.88  62    41    50  3.3
  4  5014 J5  1287  3864 J6  2472  2393 J5   589 10286 17472  5.3  5.0  2.74  0.15  28.35  17.20  22.27  24.41  68     5   138  2.4
  5  5575 J5  1111  3500 J6  1673  2938 J5   322 11141 18224  6.3  6.0  3.21  0.19  30.66  19.09  24.49  26.31  66     0   203  3.2
  6  4949 J5  1230  2366 J6  1588  3102 J5   370 11440 18560  8.0  7.3  4.48  0.21  32.62  22.44  26.49  28.15  77     0   276  2.2
  7  5669 J5   905  3234 J6  1415  3184 J5   359 11237 18290  7.1  6.3  4.46  0.22  32.49  23.09  26.92  28.27  75     0   293  2.4
  8  5401 J5   508  3149 J6  1050  3067 J5   432 10519 17542  6.5  6.3  4.44  0.21  32.69  23.10  27.05  28.69  74     0   296  2.2
  9  4490 J5  1168  3100 J6  1778  2379 J5   329  9299 16619  6.4  5.9  4.09  0.18  31.16  21.53  25.68  27.59  71     0   240  2.4
 10  3440 J5  1083  2494 J6  1695  1957 J5   377  7726 15664  6.4  6.0  3.40  0.14  27.88  19.33  23.06  24.78  68     0   164  2.5
 11  2566 J5  1023  2301 J6  1861  1411 J5   322  6254 14810  6.1  5.9  2.81  0.11  25.48  16.34  20.54  22.42  68    13    91  3.0
 12  2124 J5   915  2113 J6  1835  1170 J5   243  5523 14385  7.1  6.7  2.20  0.08  20.57  11.74  15.59  17.43  71    92    25  3.1
