722066 MAYPORT NS             FL  -5  N30 24  W081 25     5  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2962 K5   371  3924 K6  1081  1155 K5   125  5920 14690  5.4  5.1  1.96  0.08  17.52   8.73  13.01  14.61  72   168     7  3.3
  2  3636 K5   528  4121 K6  1316  1426 K5   193  7240 15531  5.5  5.2  1.95  0.09  18.50   9.69  13.93  15.55  71   129     9  3.5
  3  4785 K5   581  4831 K6  1245  1782 K5   220  8871 16524  5.0  4.7  2.10  0.11  21.36  12.77  16.94  18.41  69    70    31  3.9
  4  5910 K5   543  5318 K6  1091  2191 K5   227 10285 17481  4.8  4.5  2.33  0.15  24.49  15.92  20.19  21.70  68    20    76  3.8
  5  6387 K5   607  5213 K6  1158  2528 K5   288 11145 18242  5.1  4.8  3.10  0.19  28.35  20.25  24.12  25.37  70     1   186  3.9
  6  6013 K5   556  4341 K6  1090  2726 K5   308 11445 18578  6.1  5.6  4.23  0.21  30.74  23.20  26.56  27.74  73     0   259  3.6
  7  5998 K5   570  4366 K6  1044  2689 K5   299 11237 18304  5.7  5.3  4.63  0.23  32.21  24.11  27.71  29.00  73     0   305  3.2
  8  5490 K5   513  4046 K6   986  2518 K5   281 10510 17549  6.0  5.6  4.76  0.22  31.42  24.30  27.47  28.63  77     0   295  3.2
  9  4636 K5   428  3642 K6   841  2213 K5   214  9278 16618  6.0  5.7  4.25  0.19  29.68  23.42  26.37  27.53  75     0   247  4.0
 10  3954 K5   428  3862 K6  1008  1729 K5   159  7696 15653  5.3  5.0  3.17  0.15  26.38  19.60  22.94  24.16  72     7   151  3.9
 11  3232 K5   337  3926 K6   971  1303 K5   150  6222 14793  4.9  4.6  2.41  0.11  22.12  14.00  18.03  19.51  72    55    47  3.5
 12  2687 K5   326  3594 K6   977  1116 K5   108  5494 14369  5.5  5.1  2.11  0.09  18.28  10.08  14.11  15.62  74   142    13  3.2
 13  4641 K5   338  4265 K6   871  1948 K5   192  8778 16528  5.4  5.1  3.08  0.15  25.09  17.17  20.95  22.32  72   591  1626  3.6
 1991
