722068 JACKSONVILLE/CRAIG     FL  -5  N30 20  W081 31    12  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2907 K6   416  3800 K7  1063  1168 K6    74  5931 14693  4.6  4.4  1.95  0.08  17.97   7.32  12.43  14.63  75   185     9  3.4
  2  3655 K6   470  4196 K7  1061  1424 K6   118  7249 15535  4.5  4.2  1.93  0.09  19.13   8.36  13.60  15.78  74   139     9  3.5
  3  4739 K6   507  4712 K7   975  1839 K6   135  8877 16524  4.0  3.6  2.10  0.11  22.06  11.22  16.60  18.62  72    80    28  3.7
  4  5843 K6   409  5244 K7   701  2217 K6   134 10288 17478  3.5  3.1  2.35  0.15  25.14  14.17  19.69  21.79  71    27    67  3.5
  5  6319 K6   462  5146 K7   752  2549 K6   141 11145 18236  3.5  3.2  3.11  0.19  28.79  18.44  23.54  25.31  73     2   165  3.3
  6  5900 K6   603  4199 K7   943  2766 K6   225 11443 18571  4.5  3.7  4.25  0.21  31.13  21.89  26.06  27.58  78     0   245  3.0
  7  6081 K6   381  4556 K7   542  2684 K6   166 11236 18297  3.8  2.9  4.66  0.22  32.47  23.12  27.23  28.79  78     0   293  2.8
  8  5493 K6   372  4071 K7   595  2548 K6   188 10511 17545  4.1  3.3  4.77  0.21  31.61  23.18  26.92  28.46  80     0   281  2.7
  9  4522 K6   369  3542 K7   641  2213 K6   125  9283 16617  4.9  4.3  4.27  0.19  29.55  21.95  25.42  27.03  81     0   223  3.1
 10  3866 K6   415  3705 K7   868  1754 K6   106  7704 15655  4.5  4.1  3.17  0.15  26.14  17.73  21.71  23.51  79    10   122  3.1
 11  3159 K6   354  3753 K7   914  1328 K6   114  6232 14798  4.3  4.0  2.38  0.11  22.06  12.13  16.93  19.02  79    71    35  3.2
 12  2671 K6   312  3599 K7   846  1097 K6    86  5505 14374  4.9  4.6  2.09  0.09  18.74   8.74  13.49  15.64  79   155    12  3.2
