722070 SAVANNAH INTL AP       GA  -5  N32  7  W081 12    14  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2764 K5   347  3922 K6   957  1035 K5    91  5637 14522  5.0  4.5  1.73  0.08  15.85   4.47   9.93  12.21  71   256     3  3.2
  2  3579 K5   388  4380 K6   949  1302 K5   126  6994 15433  4.9  4.4  1.70  0.09  17.49   5.56  11.37  13.80  69   196     4  3.3
  3  4680 K5   392  4899 K6   732  1710 K5   126  8696 16514  4.5  3.9  1.90  0.11  21.20   9.03  15.01  17.25  68   116    17  3.5
  4  5827 K5   422  5382 K6   805  2140 K5   152 10205 17559  4.0  3.4  2.19  0.15  24.93  12.51  18.66  20.95  69    42    53  3.3
  5  6358 K5   464  5324 K6   763  2517 K5   121 11150 18392  4.2  3.6  3.01  0.19  28.69  17.18  22.78  24.72  72     5   147  3.0
  6  6141 K5   536  4664 K6   902  2680 K5   148 11492 18763  5.2  4.4  4.13  0.21  31.30  21.32  25.81  27.48  77     0   240  2.8
  7  6248 K5   340  4879 K6   584  2610 K5   150 11263 18470  4.5  3.8  4.64  0.22  32.92  22.93  27.26  28.92  78     0   297  2.5
  8  5567 K5   321  4313 K6   606  2479 K5   141 10462 17653  4.7  4.0  4.62  0.21  32.06  22.75  26.77  28.36  80     0   281  2.5
  9  4660 K5   460  3981 K6   827  2087 K5   148  9138 16639  4.8  4.3  3.95  0.19  29.53  20.36  24.46  26.43  79     1   199  2.9
 10  3862 K5   425  4093 K6   926  1579 K5   138  7475 15586  4.4  4.0  2.86  0.15  25.35  14.48  19.50  21.88  77    29    78  2.8
 11  3134 K5   278  4186 K6   750  1153 K5   117  5950 14645  4.3  3.8  2.14  0.11  20.83   8.86  14.52  17.11  75   122    18  2.7
 12  2578 K5   264  3797 K6   790   976 K5    90  5204 14176  5.0  4.5  1.83  0.09  16.57   5.18  10.62  13.06  74   236     5  2.9
 13  4617 K5   197  4485 K6   511  1856 K5    91  8639 16529  4.6  4.1  2.89  0.15  24.73  13.72  18.89  21.01  74  1002  1341  2.9
 1991
  1  2062 I5  1172  2287 I6  2748  1046 I5   307  5630 14516  7.7  7.0  2.30  0.07  15.47   6.74  11.02  12.51  79   228     4  3.7
  2  3648 I5  1155  4458 I6  2820  1317 I5   453  6975 15423  5.1  4.0  1.76  0.08  19.28   7.31  13.16  15.62  63   151    10  3.9
  3  4506 I5  1639  4440 I6  3209  1792 I5   570  8670 16495  6.2  4.6  1.91  0.10  22.51  11.07  16.51  18.34  66    82    34  4.5
  4  4682 I5  1710  3312 I6  2703  2356 I5   516 10186 17545  7.2  6.1  2.79  0.14  25.87  16.28  20.60  22.31  78    10    92  3.7
  5  5415 I5  1644  3985 I6  2699  2583 I5   570 11140 18381  6.7  5.7  3.88  0.18  29.51  20.72  24.65  26.09  80     0   210  3.5
  6  6031 I5  1639  4669 I6  2692  2616 I5   545 11491 18761  5.8  4.4  4.20  0.20  30.91  21.45  25.80  27.37  76     0   236  3.4
  7  5881 I5  1323  4184 I6  2131  2747 I5   500 11271 18479  6.5  5.0  4.97  0.22  33.00  23.40  27.35  28.93  80     0   306  3.1
  8  5438 I5  1369  3925 I6  2355  2624 I5   597 10479 17667  6.0  4.6  4.65  0.25  32.03  23.23  27.07  28.49  79     0   288  3.2
  9  4856 I5  1406  3977 I6  2190  2229 I5   440  9162 16658  4.6  3.5  3.84  0.26  30.16  20.59  24.94  27.00  74     0   211  3.4
 10  3792 I5  1021  3401 I6  2279  1840 I5   447  7500 15602  4.2  3.7  2.66  0.25  25.75  14.48  19.83  22.17  74    19    75  3.5
 11  2762 I5   912  2720 I6  1806  1417 I5   303  5968 14659  5.6  4.3  2.10  0.24  19.35   7.83  13.26  15.59  69   154    12  3.3
 12  2286 I5   855  2399 I6  1881  1211 I5   319  5206 14177  5.5  4.5  2.05  0.24  18.27   7.90  12.82  15.07  69   179    16  3.8
 13  4280 I5  1370  3646 I6   818  1981 I5   621  8640 16530  5.9  4.8  3.09  0.19  25.17  15.08  19.75  21.62  74   823  1495  3.6
 1992
  1  2299 I5  1031  2092 I6  2121  1305 I5   281  5622 14510  6.0  5.3  1.72  0.25  15.33   4.71  10.14  12.14  69   258     0  4.0
  2  2840 I5  1252  2067 I6  2148  1698 I5   415  6990 15427  6.6  5.6  1.97  0.27  18.53   7.86  13.16  15.30  71   155     6  3.8
  3  4437 I5  1381  3692 I6  2464  2090 I5   442  8712 16521  4.9  4.0  1.69  0.28  21.21   8.59  14.80  16.99  62   121    15  3.9
  4  5207 I5  1663  3712 I6  2361  2610 I5   449 10215 17567  4.7  3.8  2.22  0.30  23.80  12.09  17.86  19.87  67    60    48  3.6
  5  5984 I5  1801  4472 I6  2838  2682 I5   620 11155 18395  4.7  3.9  2.61  0.32  27.68  16.07  21.65  23.53  68    14   124  3.7
  6  5394 I5  1599  3018 I6  2062  3091 I5   648 11491 18763  6.7  5.8  4.10  0.33  30.06  21.49  25.20  26.52  80     0   223  3.4
  7  6454 I5  1185  4485 I6  2072  3042 I5   648 11259 18466  4.7  3.4  4.51  0.32  33.90  23.61  28.14  29.86  74     0   323  3.5
  8  5048 I5  1465  2971 I6  2122  2851 I5   507 10453 17647  6.6  5.5  4.75  0.30  31.26  22.82  26.21  27.54  82     0   270  3.0
  9  4213 I5  1275  2597 I6  1633  2468 I5   434  9125 16634  5.8  5.1  4.32  0.26  29.06  20.75  24.33  25.95  81     1   198  3.4
