722080 CHARLESTON INTL ARPT   SC  -5  N32 54  W080  2    12  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2689 K5   305  3862 K6   892  1024 K5    82  5507 14440  4.8  4.4  1.70  0.08  15.11   4.23   9.52  11.69  70   270     2  3.7
  2  3506 K5   373  4345 K6   928  1278 K5   122  6880 15388  4.7  4.2  1.67  0.09  16.72   5.34  10.81  13.06  69   209     3  3.8
  3  4640 K5   388  4950 K6   740  1684 K5   128  8614 16509  4.3  3.8  1.87  0.11  20.52   8.79  14.53  16.71  68   128    14  4.1
  4  5854 K5   446  5483 K6   822  2111 K5   157 10166 17596  3.8  3.2  2.15  0.15  24.33  12.66  18.36  20.52  69    45    50  4.1
  5  6283 K5   527  5250 K6   862  2509 K5   135 11150 18462  4.1  3.4  2.99  0.18  27.95  17.32  22.44  24.25  73     6   139  3.7
  6  6130 K5   521  4641 K6   941  2712 K5   196 11510 18853  4.6  3.9  4.09  0.21  30.70  21.49  25.67  27.23  77     0   233  3.4
  7  6155 K5   369  4751 K6   610  2636 K5   149 11272 18549  4.2  3.4  4.64  0.22  32.33  23.31  27.31  28.76  78     0   294  3.2
  8  5437 K5   316  4128 K6   542  2486 K5   125 10438 17702  4.4  3.7  4.57  0.21  31.52  22.95  26.70  28.12  80     0   276  3.0
  9  4536 K5   411  3836 K6   757  2075 K5   151  9072 16649  4.6  4.0  3.90  0.18  28.96  20.18  24.15  25.97  78     1   188  3.3
 10  3818 K5   463  4129 K6   968  1542 K5   111  7372 15555  4.2  3.8  2.79  0.15  24.72  14.25  19.19  21.50  77    34    70  3.2
 11  3065 K5   294  4109 K6   783  1146 K5    98  5824 14577  4.2  3.7  2.12  0.11  20.36   8.88  14.39  16.78  73   128    16  3.2
 12  2513 K5   235  3767 K6   717   963 K5    88  5071 14085  4.7  4.2  1.80  0.09  16.07   5.05  10.36  12.68  72   245     4  3.4
 13  4552 K5   214  4438 K6   530  1847 K5    96  8573 16530  4.4  3.8  2.86  0.15  24.11  13.70  18.62  20.60  74  1066  1290  3.5
 1991
  1  2057 I5  1074  2257 I6  2642  1081 I5   329  5500 14435  7.1  6.6  2.06  0.06  14.71   6.18  10.24  11.73  79   244     0  3.8
  2  3333 I5  1255  3979 I6  3004  1334 I5   438  6861 15373  5.2  4.4  1.68  0.07  18.33   6.82  12.34  14.65  69   172    11  4.1
  3  4285 I5  1579  4202 I6  3148  1764 I5   576  8587 16490  6.0  4.7  1.81  0.10  20.75  10.74  15.61  17.32  68   106    26  5.2
  4  4670 I5  1675  3486 I6  2872  2290 I5   570 10146 17580  6.8  5.8  2.59  0.14  24.28  14.95  19.20  20.89  82    21    59  4.1
  5  5112 I5  1657  3555 I6  2539  2604 I5   456 11139 18453  6.7  5.6  3.82  0.17  28.64  20.26  24.19  25.59  82     0   190  3.7
  6  5824 I5  1558  4126 I6  2313  2805 I5   496 11509 18852  5.9  4.5  4.07  0.20  30.20  21.69  25.53  26.92  77     0   228  3.7
  7  5824 I5  1340  3914 I6  2116  2910 I5   474 11280 18559  6.7  5.2  5.10  0.22  32.81  24.24  27.99  29.25  79     0   316  3.6
  8  5187 I5  1239  3169 I6  1619  2857 I5   419 10455 17718  6.7  5.4  4.80  0.25  31.69  23.53  26.87  28.24  80     0   288  3.3
  9  4714 I5  1196  3413 I6  1892  2415 I5   452  9096 16669  5.2  4.0  3.77  0.25  29.69  20.37  24.33  26.10  74     0   201  3.4
 10  3797 I5  1085  3529 I6  2426  1798 I5   483  7398 15570  4.2  3.5  2.62  0.25  25.24  14.17  19.26  21.75  73    25    68  3.7
 11  2661 I5   830  2508 I6  1541  1436 I5   252  5843 14590  5.4  4.3  1.98  0.24  18.73   7.73  12.90  15.19  68   162     9  3.6
 12  2319 I5   788  2534 I6  1725  1203 I5   265  5073 14088  5.1  4.2  2.08  0.24  17.57   7.07  12.05  14.14  67   200    14  4.1
 13  4148 I5  1313  3389 I6   655  2041 I5   684  8574 16531  5.9  4.8  3.03  0.18  24.39  14.81  19.21  20.98  75   930  1409  3.9
 1992
  1  2330 I5   974  2280 I6  2195  1275 I5   259  5492 14427  5.8  5.2  1.73  0.25  14.67   4.60   9.67  11.58  68   269     0  4.4
  2  2919 I5  1252  2364 I6  2413  1645 I5   446  6875 15381  6.3  5.3  1.88  0.27  17.70   7.77  12.30  14.33  69   165     3  4.1
  3  4436 I5  1422  3739 I6  2503  2074 I5   423  8630 16517  4.6  3.9  1.58  0.28  20.32   8.42  14.00  16.16  63   133    11  4.3
  4  5248 I5  1614  3803 I6  2468  2595 I5   589 10177 17603  4.9  4.1  2.20  0.30  22.85  12.10  17.43  19.35  67    68    43  3.9
  5  5990 I5  1991  4474 I6  3019  2720 I5   662 11155 18467  5.1  4.1  2.61  0.31  26.58  15.94  20.99  22.83  70    16   107  3.6
  6  5371 I5  1590  2963 I6  1936  3110 I5   528 11510 18852  7.0  5.9  4.18  0.32  29.13  20.98  24.64  26.03  81     0   202  3.4
  7  6127 I5  1133  4142 I6  1859  3043 I5   454 11268 18543  5.6  3.9  4.63  0.32  33.16  24.15  28.11  29.60  76     0   320  3.7
  8  4917 I5  1460  3170 I6  2179  2658 I5   363 10429 17695  7.0  5.7  4.61  0.30  31.00  22.71  26.27  27.59  82     0   264  3.3
  9  4052 I5  1326  2636 I6  2137  2353 I5   535  9058 16641  6.1  5.0  4.19  0.26  28.30  20.40  23.86  25.38  83     2   183  3.1
 10  3853 I5  1149  3917 I6  2464  1638 I5   487  7356 15551  4.8  3.9  2.50  0.21  23.75  12.89  18.05  20.34  75    40    40  3.1
 11  2368 I5  1102  2390 I6  2431  1233 I5   291  5813 14573  6.2  5.3  2.51  0.16  20.16  11.19  15.51  17.16  76   116    36  3.7
 12  2065 I5   931  2323 I6  2196  1051 I5   244  5069 14085  6.4  5.7  2.00  0.13  15.23   5.73  10.37  12.29  72   245     2  3.7
 13  4140 I5  1449  3183 I6   799  2116 I5   730  8569 16528  5.8  4.8  2.88  0.26  23.57  13.91  18.43  20.22  73  1055  1209  3.7
 1993
  1  2094 I5  1142  2140 I6  2570  1114 I5   298  5517 14447  7.4  6.4  2.20  0.12  16.54   7.42  11.84  13.46  74   200     3  3.8
  2  3072 I5  1308  3148 I6  2630  1401 I5   372  6891 15399  6.3  5.1  1.46  0.12  14.30   5.27   9.50  11.20  62   239     0  4.1
  3  4115 I5  1734  3964 I6  3182  1703 I5   448  8620 16514  6.1  5.1  1.77  0.14  18.39   8.01  12.90  14.55  67   161     2  4.6
  4  5771 I5  1684  5329 I6  2889  2155 I5   625 10171 17599  4.4  3.1  1.65  0.17  22.20  10.45  16.47  18.51  64    78    18  4.6
  5  5969 I5  1330  4406 I6  2272  2748 I5   434 11153 18465  5.6  4.5  2.85  0.21  27.50  17.30  22.13  23.89  74     2   128  3.2
  6  6302 I5  1435  4712 I6  2498  2821 I5   674 11511 18853  5.2  4.3  3.90  0.23  30.93  21.40  25.70  27.33  77     0   235  3.3
  7  6574 I5  1038  5236 I6  2049  2690 I5   599 11271 18545  4.8  3.5  4.62  0.24  34.76  24.55  28.79  30.35  76     0   351  2.8
  8  5536 I5  1033  4166 I6  2013  2637 I5   482 10434 17697  5.4  4.0  4.32  0.22  32.31  22.91  26.98  28.52  78     0   288  2.9
  9  4798 I5  1192  4104 I6  2320  2165 I5   434  9067 16643  4.5  3.8  3.94  0.19  29.97  21.18  25.11  27.05  78     2   219  2.8
 10  3047 I5  1549  2683 I6  2754  1537 I5   364  7366 15551  6.4  5.7  3.07  0.15  24.25  14.60  19.20  21.01  80    31    65  3.5
 11  2832 I5   873  3443 I6  2233  1212 I5   329  5821 14573  5.5  4.8  2.23  0.11  20.25  10.04  14.84  16.92  70   117    21  3.4
 12  2483 I5   861  3441 I6  2391  1023 I5   254  5070 14083  5.4  4.0  1.49  0.09  14.68   3.57   9.04  11.33  70   285     0  3.6
 13  4383 I5  1631  3898 I6   973  1934 I5   683  8574 16531  5.6  4.5  2.79  0.17  23.84  13.89  18.54  20.34  72  1115  1330  3.6
 1994
  1  2450 I5  1110  3127 I6  2915  1070 I5   300  5509 14442  6.2  5.4  1.58  0.08  13.39   2.60   7.98   9.90  68   320     0  3.8
  2  3212 I5  1408  3558 I6  2871  1327 I5   385  6877 15389  6.1  5.2  1.79  0.08  17.51   6.17  11.56  13.69  70   184     3  3.6
  3  4738 I5  1422  5153 I6  3041  1617 I5   506  8604 16503  5.0  4.0  1.88  0.11  22.09  10.26  16.31  18.36  64    88    22  4.1
