722085 BEAUFORT MCAS          SC  -5  N32 29  W080 43    10  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2726 K5   316  3735 K6  1010  1085 K5   131  5576 14484  5.2  4.9  1.73  0.08  15.21   4.69   9.77  11.83  69   261     2  3.0
  2  3461 K5   439  4033 K6  1192  1363 K5   190  6941 15412  5.4  5.0  1.70  0.09  16.81   5.80  11.10  13.25  69   201     3  3.0
  3  4633 K5   398  4724 K6   862  1762 K5   205  8658 16512  5.1  4.8  1.90  0.11  20.44   9.29  14.80  16.78  68   122    14  3.4
  4  5794 K5   485  5219 K6   968  2189 K5   218 10187 17576  4.6  4.3  2.18  0.15  24.42  13.25  18.79  20.73  68    39    54  3.4
  5  6309 K5   582  5085 K6  1086  2607 K5   236 11150 18425  5.0  4.6  3.02  0.19  28.29  17.94  23.01  24.65  71     4   153  3.1
  6  6208 K5   623  4675 K6  1177  2716 K5   303 11501 18805  5.5  5.1  4.14  0.21  31.03  21.94  26.13  27.56  76     0   245  2.7
  7  6103 K5   520  4568 K6   943  2673 K5   250 11268 18507  5.6  5.1  4.64  0.22  32.72  23.61  27.70  29.09  76     0   305  2.5
  8  5429 K5   367  3969 K6   707  2550 K5   234 10451 17676  5.7  5.3  4.63  0.21  31.89  23.28  27.11  28.44  78     0   287  2.3
  9  4651 K5   417  3895 K6   844  2128 K5   202  9107 16645  5.3  5.0  3.98  0.18  29.18  20.70  24.57  26.30  77     1   199  2.6
 10  3835 K5   455  3991 K6  1009  1606 K5   139  7427 15572  4.6  4.5  2.88  0.15  24.93  14.89  19.61  21.75  76    29    78  2.5
 11  3124 K5   279  4070 K6   840  1195 K5   129  5891 14613  4.4  4.2  2.16  0.11  20.40   9.33  14.59  16.89  74   121    17  2.5
 12  2519 K5   289  3593 K6   882  1016 K5    88  5141 14133  5.1  4.8  1.83  0.09  16.10   5.51  10.55  12.74  72   238     4  2.8
 13  4566 K5   282  4296 K6   750  1907 K5   168  8608 16530  5.1  4.8  2.90  0.15  24.28  14.19  18.98  20.83  73  1015  1360  2.8
 1991
