722090 FT STEWART/WRIGHT      GA  -5  N31 53  W081 34    14  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2758 K5   367  3754 K6  1009  1086 K5    98  5676 14545  5.3  4.6  1.74  0.08  16.31   4.12   9.93  12.57  73   255     3  2.7
  2  3581 K5   365  4306 K6   921  1335 K5   146  7028 15447  5.4  4.6  1.70  0.09  18.26   5.00  11.42  14.39  71   192     3  2.6
  3  4672 K5   421  4811 K6   812  1742 K5   142  8721 16515  4.6  3.8  1.91  0.11  21.94   8.65  15.17  17.78  69   109    15  2.8
  4  5793 K5   330  5289 K6   655  2162 K5   143 10217 17549  4.7  3.9  2.20  0.15  25.13  11.35  18.23  20.95  68    45    42  2.8
  5  6313 K5   499  5183 K6   803  2552 K5   116 11150 18371  5.0  4.3  3.02  0.19  29.14  16.66  22.68  24.92  73     4   145  2.7
  6  6207 K5   456  4687 K6   783  2727 K5   185 11486 18738  5.4  4.5  4.12  0.21  32.18  20.90  25.97  27.93  77     0   246  2.5
  7  6240 K5   271  4846 K6   497  2634 K5   175 11260 18447  5.2  4.2  4.65  0.22  33.12  22.20  27.03  28.90  77     0   289  2.4
  8  5574 K5   307  4293 K6   556  2491 K5   156 10469 17638  5.4  4.5  4.63  0.21  32.31  22.34  26.64  28.43  81     0   279  2.2
  9  4641 K5   403  3884 K6   750  2133 K5   142  9158 16637  5.3  4.6  3.94  0.19  29.67  19.84  24.23  26.48  80     0   193  2.4
 10  3902 K5   388  4071 K6   859  1615 K5   112  7505 15595  4.6  4.1  2.86  0.15  26.00  14.15  19.61  22.34  78    23    77  2.2
 11  3145 K5   241  4091 K6   689  1191 K5   110  5987 14666  4.5  3.9  2.13  0.11  21.30   8.46  14.47  17.44  77   120    16  2.2
 12  2562 K5   263  3632 K7   789  1020 K5    89  5243 14203  5.1  4.5  1.83  0.09  17.51   5.23  11.06  13.79  76   220     4  2.4
 13  4616 K5   183  4404 K6   491  1891 K5   100  8658 16529  5.0  4.3  2.90  0.15  25.24  13.24  18.87  21.33  75   967  1313  2.5
 1991
  1  2130 J6  1166  2278 J7  2756  1085 J6   354  5669 14540  7.0  6.5  2.22  0.07  16.31   5.19  10.65  13.03  82   236     2  2.3
  2  3645 J6  1109  4326 J7  2599  1368 J6   362  7009 15433  4.9  4.2  1.72  0.08  20.48   6.40  13.38  16.65  69   142     5  2.4
  3  4544 J6  1433  4588 J7  3105  1773 J6   598  8695 16498  5.1  4.3  1.92  0.10  23.29   8.64  15.75  18.62  68    94    20  2.3
  4  5322 J6  1529  4537 J7  2952  2210 J6   616 10197 17531  5.8  4.9  2.79  0.14  26.46  14.63  20.00  22.42  78     9    76  2.6
  5  5994 J6  1398  4747 J7  2416  2595 J6   626 11140 18359  5.1  4.5  3.88  0.18  29.75  19.16  24.04  25.95  81     0   190  2.3
  6  6570 J6  1329  5260 J7  2525  2671 J6   686 11485 18737  4.9  3.8  4.22  0.20  31.30  20.71  25.71  27.57  76     0   230  1.9
  7  6234 J6  1386  4957 J7  2381  2605 J6   546 11268 18457  5.3  4.1  4.92  0.22  32.87  22.07  26.82  28.77  78     0   283  1.4
  8  5604 J6  1304  4145 J7  2292  2634 J6   614 10486 17655  5.4  4.4  4.60  0.25  32.25  22.53  26.75  28.46  79     0   281  1.4
  9  4697 J6  1221  3620 J7  2044  2299 J6   459  9181 16654  4.8  4.1  3.77  0.26  30.29  19.84  24.46  26.92  76     0   202  1.5
 10  3675 J6  1207  3221 J7  2251  1828 J6   454  7531 15613  4.8  4.3  2.62  0.25  25.84  14.20  19.59  22.19  74    22    74  1.6
 11  2726 J6   948  2381 J7  1831  1509 J6   328  6005 14679  5.5  4.8  2.03  0.24  21.05   7.85  14.16  17.05  71   129    13  1.6
 12  2645 J7   622  3265 J7  1753  1181 J7   267  5246 14204  3.2  2.9  2.01  0.24  19.65   6.68  12.84  15.76  77   169     9  2.1
 13  4482 J6  1510  3944 J7   984  1980 J6   598  8659 16530  5.1  4.4  3.06  0.19  25.79  13.99  19.51  21.95  76   801  1385  1.9
 1992
  1  2408 J6   968  2215 J7  2065  1358 J6   329  5661 14533  6.0  5.3  1.71  0.25  15.45   3.90   9.71  12.19  71   268     0  2.4
  2  3016 J6  1163  2211 J7  2021  1776 J6   513  7023 15442  6.9  5.6  1.94  0.27  18.35   6.53  12.36  14.94  75   176     5  1.8
