722103 ST LUCIE CO INTL       FL  -5  N27 29  W080 22     7  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3353 K6   357  4392 K7  1118  1244 K6   164  6393 14959  4.5  4.2  2.41  0.08  21.88  10.12  16.00  18.90  75   104    31  3.1
  2  4173 K6   406  4846 K7   983  1472 K6   168  7644 15688  4.3  4.1  2.43  0.09  23.40  12.09  17.87  20.31  74    58    41  3.3
  3  5148 K6   414  5177 K7   914  1870 K6   170  9148 16540  4.2  3.9  2.52  0.12  25.46  14.79  20.23  22.36  72    27    83  3.7
  4  6056 K6   451  5437 K7   850  2212 K6   190 10400 17356  4.0  3.7  2.72  0.16  26.79  16.42  21.91  23.91  70     8   106  3.7
  5  6414 K6   400  5296 K7   658  2501 K6   137 11117 17998  4.1  3.7  3.39  0.19  29.38  20.22  24.96  26.51  73     0   201  3.5
  6  5968 K6   544  4380 K7   911  2659 K6   252 11348 18278  5.1  4.2  4.54  0.22  31.35  22.66  26.81  28.29  79     1   261  2.8
  7  6106 K6   279  4605 K7   437  2666 K6   202 11175 18034  4.3  3.6  4.72  0.23  31.79  23.41  27.36  28.78  80     1   288  2.5
  8  5648 K6   364  4361 K7   651  2462 K6   251 10571 17381  4.3  3.7  4.90  0.22  31.91  23.55  27.34  28.88  81     0   291  2.4
  9  4894 K6   284  3927 K7   639  2230 K6   204  9497 16583  4.9  4.3  4.76  0.19  30.67  23.17  26.74  28.32  80     1   258  2.8
 10  4234 K6   419  4082 K7   898  1803 K6   137  8057 15761  4.7  4.3  3.82  0.15  28.38  19.48  23.98  26.05  75     3   176  3.1
 11  3516 K6   386  4094 K7  1010  1413 K6   131  6675 15033  4.5  4.3  2.93  0.12  25.54  15.09  20.44  22.66  76    20    80  3.1
 12  3086 K6   276  3960 K7   869  1241 K6   148  5982 14677  4.7  4.5  2.61  0.09  22.34  11.17  16.74  19.36  78    92    43  2.9
 13  4883 K6   239  4546 K7   634  1981 K6   150  9001 16524  4.5  4.0  3.48  0.16  27.41  17.68  22.53  24.53  76   313  1860  3.1
 1991
  1  3302 J8   752  3942 J8  1947  1362 J8   332  6386 14956  5.2  4.5  3.09  0.07  24.13  15.75  19.70  21.77  71    32    82  3.0
  2  3943 J8  1284  4548 J8  2792  1427 J8   389  7627 15676  4.6  4.3  2.59  0.08  22.46  13.31  17.80  19.90  68    50    37  3.6
  3  4750 J8  1561  4676 J8  2994  1765 J8   537  9126 16524  4.7  4.6  2.81  0.10  24.35  14.98  19.81  21.52  70    30    71  3.6
  4  5607 J8  1279  4698 J8  2188  2272 J8   442 10384 17345  4.8  4.4  3.35  0.15  26.30  19.58  23.17  24.27  61     0   138  3.6
  5  6073 J8  1540  4692 J8  2393  2571 J8   451 11109 17989  5.1  4.5  3.96  0.18  27.98  20.41  24.24  25.42  72     0   182  3.3
  6  6285 J8   949  4427 J8  1683  2885 J8   527 11347 18277  5.8  4.8  4.64  0.21  31.65  21.66  26.27  28.06  77     0   250  2.2
  7  6165 J8  1141  4606 J8  1940  2729 J8   470 11181 18041  5.7  4.3  4.93  0.23  32.28  24.32  28.24  29.64  71     0   309  1.8
  8  5773 J8   991  3870 J8  1682  2869 J8   557 10584 17392  5.0  4.0  4.93  0.26  32.37  24.08  27.82  29.34  77     0   307  1.9
  9  5027 J8   986  3638 J8  1712  2481 J8   459  9517 16598  4.9  4.2  4.81  0.27  30.86  23.65  27.13  28.66  77     0   268  1.9
 10  3855 J8  1130  2800 J8  1885  2114 J8   421  8080 15771  5.4  4.9  4.21  0.26  28.10  16.37  22.73  25.58  76    19   141  2.9
 11  2913 J8   810  2135 J8  1583  1764 J8   314  6692 15045  5.7  5.3  3.24  0.25  24.86  12.33  18.85  21.15  72    41    49  3.0
 12  2822 J8   627  2409 J8  1498  1630 J8   266  5984 14678  4.9  4.4  3.09  0.25  22.45  12.14  17.12  19.62  81    66    34  2.4
 13  4709 J8  1300  3870 J8   938  2156 J8   556  9002 16524  5.2  4.5  3.80  0.19  27.32  18.22  22.74  24.58  73   238  1868  2.8
 1992
  1  2650 J8   755  1931 J8  1354  1650 J8   293  6379 14951  5.6  5.3  2.73  0.26  23.07  11.15  17.39  20.15  66    72    34  3.1
  2  3277 J8  1095  2227 J8  1981  1954 J8   382  7640 15685  6.5  5.9  2.68  0.27  22.65  10.78  16.85  18.88  67    88    41  3.3
  3  4730 J8  1409  3696 J8  2380  2226 J8   451  9161 16543  5.4  4.9  2.62  0.28  25.23  15.77  20.60  22.47  69    21    88  3.0
  4  5558 J8  1280  3762 J8  2116  2784 J8   519 10408 17360  5.4  4.7  2.87  0.30  27.63  17.21  22.67  24.68  71     3   125  3.5
  5  6431 J8  1195  4853 J8  2166  2772 J8   524 11120 18002  4.1  3.7  2.90  0.32  29.42  17.91  23.99  26.00  70     0   165  3.0
  6  5378 J8  1421  2881 J8  1855  3146 J8   532 11347 18279  7.3  6.1  5.18  0.33  32.24  23.87  27.86  29.35  78     0   292  2.5
  7  6604 J8   709  4558 J8  1540  3132 J8   584 11172 18030  3.4  2.9  4.25  0.33  32.28  24.32  28.24  29.64  78     0   309  2.2
  8  5599 J8   965  3626 J8  1560  2893 J8   486 10564 17372  6.3  4.9  4.88  0.31  32.37  24.08  27.82  29.35  81     0   307  1.9
  9  4635 J8  1284  3018 J8  1774  2520 J8   413  9486 16579  6.1  5.3  4.87  0.26  30.80  23.62  27.10  28.62  79     0   266  2.7
 10  4066 J8  1037  3527 J8  2081  1929 J8   430  8044 15757  4.7  4.3  3.55  0.21  28.31  17.91  23.26  25.96  74     0   148  3.3
 11  2913 J8   961  2498 J8  1916  1602 J8   362  6664 15029  5.8  5.1  3.93  0.17  25.75  13.97  20.17  22.67  75    21    67  4.3
 12  3074 J8   686  3633 J8  1893  1329 J8   288  5980 14677  4.9  4.3  2.75  0.14  21.45   9.25  15.39  18.21  86   146    53  2.5
 13  4576 J8  1379  3351 J8   880  2328 J8   630  8997 16522  5.5  4.8  3.60  0.26  27.60  17.49  22.61  24.67  74   350  1896  2.9
 1993
  1  2747 J8   862  2462 J8  1698  1500 J8   280  6403 14966  6.3  5.7  3.39  0.12  23.68  14.71  19.44  21.49  74    46    73  3.2
  2  3582 J8  1253  3446 J8  2437  1621 J8   339  7655 15697  5.5  5.3  2.46  0.12  22.90  11.06  17.11  19.58  71    71    33  3.0
  3  4468 J8  1612  3811 J8  2996  1980 J8   545  9153 16546  5.3  4.9  2.55  0.14  26.99  16.84  21.77  23.77  66    14   125  3.6
  4  5729 J8  1470  4913 J8  2588  2294 J8   515 10404 17358  4.5  4.1  2.32  0.18  26.57  15.66  21.42  23.58  70     9    93  3.7
  5  6085 J8  1543  4726 J8  2506  2536 J8   554 11120 18004  5.2  4.8  3.27  0.22  30.70  20.64  25.55  26.89  70     9   237  3.7
  6  6540 J8  1042  4667 J8  1894  2945 J8   552 11348 18281  4.8  4.0  4.18  0.24  31.59  22.14  26.71  28.30  75     0   256  3.0
  7  6245 J8   994  4729 J8  1728  2725 J8   444 11174 18035  5.0  4.3  4.67  0.25  31.45  22.71  26.54  28.04  85     0   271  2.6
  8  5782 J8  1021  4141 J8  1750  2781 J8   471 10568 17378  5.2  4.2  4.81  0.24  31.65  23.76  27.22  28.54  83     0   291  2.6
  9  5054 J8  1145  4002 J8  2076  2303 J8   524  9493 16579  5.3  4.4  4.84  0.20  30.67  21.47  26.04  27.54  81    11   243  2.8
 10  3472 J8  1178  2712 J8  2122  1871 J8   370  8052 15756  5.9  5.7  4.70  0.16  27.68  20.94  24.08  24.93  67    13   199  2.6
 11  3074 J8  1069  2971 J8  2030  1480 J8   283  6671 15029  5.3  5.0  3.67  0.12  24.90  14.74  20.06  22.23  73    27    72  3.6
 12  2884 J8   799  3374 J8  2023  1304 J8   291  5981 14678  4.5  4.1  2.52  0.09  20.42   6.29  13.54  16.90  85   173    18  3.0
 13  4638 J8  1432  3830 J8   844  2112 J8   565  9002 16526  5.2  4.7  3.62  0.17  27.43  17.58  22.46  24.32  75   373  1910  3.1
 1994
  1  2706 J8  1079  2539 J8  2499  1454 J8   358  6395 14961  6.7  6.0  2.78  0.08  21.25   7.35  14.25  17.54  84   140    16  4.1
  2  3655 J8  1062  3596 J8  2302  1588 J8   375  7642 15688  5.9  5.7  2.94  0.09  25.69  14.66  20.26  22.78  60    15    66  4.2
  3  5007 J8  1040  4914 J8  2275  1887 J8   560  9140 16535  4.4  4.1  2.85  0.11  24.43  11.94  18.43  20.66  71    42    38  4.1
  4  5353 J8  1420  4268 J8  2506  2380 J8   533 10395 17352  4.9  4.7  3.47  0.15  26.45  17.49  22.03  23.85  71     2   111  4.2
  5  6099 J8  1220  4820 J8  2362  2581 J8   734 11115 17996  5.3  4.5  3.59  0.19  29.82  21.53  25.61  27.18  77     0   228  3.1
  6  5545 J8  1591  3613 J8  2337  2808 J8   514 11348 18278  7.3  6.1  4.91  0.22  32.30  23.75  27.82  29.37  78     0   291  2.3
  7  6122 J8   962  4421 J8  1808  2847 J8   474 11177 18038  5.9  4.8  4.58  0.23  32.00  23.19  27.51  28.66  79    13   300  2.5
  8  5395 J8  1246  3643 J8  1971  2752 J8   463 10575 17389  6.0  5.2  4.77  0.22  32.37  24.08  27.82  29.34  81     0   307  2.3
  9  4544 J8  1225  2999 J8  1742  2438 J8   389  9504 16587  7.3  6.0  4.97  0.19  30.86  23.65  27.13  28.66  79     0   268  2.3
 10  4262 J8   945  4016 J8  1987  1815 J8   395  8065 15765  4.8  4.5  3.91  0.15  28.31  17.91  23.26  25.96  74     0   148  2.7
 11  3334 J8   963  3551 J8  2272  1481 J8   351  6681 15035  4.8  4.6  3.38  0.11  26.14  14.21  20.51  23.07  70    18    73  3.7
 12  2711 J8   797  2773 J8  1978  1398 J8   289  5983 14677  6.4  6.0  2.99  0.08  21.12   8.32  15.03  17.53  82   146    34  3.2
 13  4561 J8  1227  3763 J8   761  2119 J8   571  9002 16525  5.8  5.2  3.76  0.15  27.56  17.34  22.47  24.55  75   375  1879  3.2
 1995
  1  3187 J8  1180  4058 J8  2915  1191 J8   362  6387 14956  4.9  4.7  2.30  0.07  19.07   5.86  12.14  15.51  78   197    15  3.0
  2  4275 J8  1165  5176 J8  2940  1385 J8   539  7629 15676  4.2  3.7  2.34  0.08  25.69  14.66  20.26  22.78  78    15    66  3.7
  3  4741 J8  1124  4337 J8  2215  1933 J8   443  9127 16526  5.4  4.7  2.68  0.10  25.67  15.89  20.85  22.74  67    16    92  4.0
  4  5625 J8  1622  4792 J8  2843  2251 J8   610 10386 17345  5.6  4.8  2.99  0.15  27.34  15.64  22.02  24.13  69     9   104  3.8
  5  6443 J8  1076  5508 J8  2002  2388 J8   542 11110 17989  4.5  3.8  3.57  0.18  29.14  20.71  25.26  26.69  74     0   204  3.4
  6  6063 J8  1113  4214 J8  1915  2863 J8   488 11347 18277  6.2  5.0  4.57  0.21  30.93  23.20  27.08  28.50  80     0   262  3.5
  7  6137 J8  1189  4442 J8  2006  2808 J8   500 11180 18040  5.7  4.5  4.80  0.22  32.28  24.32  28.24  29.64  78     0   309  2.9
  8  5523 J8  1272  4079 J8  2218  2536 J8   509 10583 17392  6.0  5.1  4.95  0.21  32.37  24.08  27.82  29.34  81     0   307  3.2
  9  5317 J8   918  4421 J8  1693  2265 J8   423  9516 16596  5.3  4.2  4.64  0.18  30.86  23.65  27.13  28.66  79     0   268  2.1
 10  4002 J8   950  3328 J8  1975  1975 J8   465  8078 15770  6.4  5.5  4.61  0.14  28.31  17.91  23.26  25.95  74     0   148  3.7
 11  3466 J8   968  4046 J8  2397  1371 J8   364  6691 15043  4.0  3.9  2.90  0.10  25.67  13.40  19.94  22.40  76    28    64  3.0
 12  2837 J8   913  3256 J8  2317  1290 J8   279  5984 14677  5.3  5.0  2.65  0.08  19.44   4.27  11.69  15.08  73   202     1  2.7
 13  4801 J8  1232  4305 J8   655  2021 J8   595  9002 16524  5.3  4.6  3.58  0.15  27.23  16.97  22.14  24.29  76   467  1842  3.3
 1996
  1  3095 J8   962  3768 J8  2694  1308 J8   454  6380 14952  4.8  4.5  2.31  0.07  18.19   4.70  11.19  14.74  70   221     7  3.6
  2  4223 J8  1099  4958 J8  2495  1512 J8   429  7642 15685  3.4  3.3  2.05  0.08  24.68  12.62  18.71  21.48  83    49    59  3.2
  3  5097 J8  1480  5100 J8  2747  1806 J8   547  9162 16545  4.1  3.6  2.26  0.11  27.09  15.91  21.42  23.46  77    12   110  4.2
