722104 ST PETERSBURG ALBERT W FL  -5  N27 46  W082 38     2  1013
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3432 K5   380  4587 K6  1079  1200 K5   127  6347 14933  4.3  3.9  2.21  0.08  20.53  13.30  16.50  17.75  76    75    31  3.7
  2  4128 K5   406  4881 K6  1047  1410 K5   161  7606 15674  4.2  3.9  2.22  0.09  21.59  14.26  17.46  18.77  73    49    37  3.9
  3  5268 K5   488  5445 K6   990  1766 K5   166  9122 16538  3.9  3.6  2.32  0.12  24.07  16.69  20.01  21.21  72    22    86  4.2
  4  6306 K5   609  5930 K6  1191  2093 K5   257 10390 17367  3.4  3.1  2.55  0.16  26.84  19.77  22.93  24.19  69     2   151  4.3
  5  6693 K5   504  5678 K6   903  2464 K5   202 11121 18023  3.3  3.0  3.25  0.20  29.97  23.13  26.15  27.19  69     0   255  4.0
  6  6328 K5   393  4861 K6   736  2615 K5   233 11358 18306  4.2  3.5  4.40  0.22  31.56  25.26  28.01  28.93  73     0   303  3.7
  7  6047 K5   365  4463 K6   565  2631 K5   238 11182 18060  4.0  3.2  4.72  0.24  31.94  26.04  28.61  29.36  74     0   330  3.3
  8  5665 K5   311  4344 K6   532  2450 K5   235 10566 17397  4.2  3.3  4.85  0.23  31.95  26.26  28.70  29.58  75     0   334  3.5
  9  5086 K5   344  4223 K6   598  2196 K5   174  9476 16586  4.3  3.5  4.59  0.20  30.97  25.38  27.72  28.72  76     0   295  4.2
 10  4545 K5   411  4699 K6   972  1731 K5   168  8022 15750  3.7  3.2  3.50  0.15  28.52  22.46  25.11  26.20  74     1   223  4.4
 11  3756 K5   331  4703 K6   912  1307 K5   143  6631 15009  3.6  3.2  2.59  0.12  24.68  17.97  20.97  22.12  74    12   102  4.1
 12  3155 K5   311  4237 K6   925  1169 K5   121  5935 14647  4.3  4.0  2.34  0.09  21.63  14.72  17.73  18.93  76    52    48  3.7
 13  5034 K5   226  4838 K6   631  1919 K5   157  8980 16524  4.0  3.5  3.29  0.16  27.02  20.44  23.32  24.41  73   214  2196  3.9
 1991
  1  2943 J5   931  3277 J6  2092  1315 J5   328  6341 14929  6.8  5.7  2.74  0.07  22.72  16.11  19.07  20.30  80    29    63  3.9
  2  3936 J5  1216  4423 J6  2687  1455 J5   399  7589 15665  5.4  4.9  2.37  0.08  22.74  15.38  18.59  20.02  65    29    50  3.7
  3  4600 J5  1789  4481 J6  3132  1700 J5   426  9100 16525  5.3  4.9  2.45  0.11  24.52  17.64  20.87  21.92  70    14    99  4.3
  4  5946 J5   920  5052 J6  1947  2340 J5   611 10374 17354  5.2  4.3  3.07  0.15  29.04  21.99  25.02  26.37  72     0   216  3.8
  5  5691 J5  1356  4031 J6  2239  2675 J5   571 11113 18014  6.2  5.5  3.90  0.19  30.99  24.08  27.01  28.15  73     0   285  3.7
  6  6198 J5  1167  4361 J6  2016  2864 J5   599 11357 18304  6.2  5.1  4.39  0.21  31.58  25.09  28.01  29.03  71     0   300  3.1
  7  5698 J5  1458  3693 J6  2089  2872 J5   492 11188 18067  7.4  5.7  4.70  0.23  32.79  26.68  29.31  30.12  74     0   354  2.6
  8  5593 J5  1051  3577 J6  1532  2914 J5   435 10579 17410  6.4  5.0  4.63  0.26  32.64  26.97  29.31  30.25  73     0   356  2.4
  9  5546 J5   591  4386 J6  1531  2482 J5   531  9497 16601  4.9  3.6  4.34  0.27  32.10  25.51  28.20  29.40  79     0   314  3.3
 10  4051 J5  1062  3200 J6  2107  2079 J5   473  8046 15763  5.2  4.4  3.43  0.26  29.45  22.50  25.39  26.70  69     0   237  3.6
 11  3170 J5   835  2749 J6  1703  1704 J5   325  6648 15021  5.3  4.6  2.55  0.25  24.08  16.27  19.61  20.95  67    26    81  3.2
 12  2865 J5   696  2848 J6  1745  1459 J5   304  5937 14647  5.2  4.5  2.65  0.25  24.29  15.91  19.42  21.10  71    20    75  2.6
 13  4686 J5  1247  3840 J6   727  2155 J5   611  8981 16525  5.8  4.9  3.44  0.19  28.08  21.18  24.15  25.36  72   118  2429  3.3
 1992
  1  2780 J5   867  2356 J6  1565  1546 J5   263  6333 14924  6.2  5.1  2.35  0.26  19.22  11.54  14.91  16.09  67   105    14  3.1
  2  3166 J5  1095  2027 J6  1885  1934 J5   355  7602 15670  6.8  6.4  2.36  0.27  20.11  13.07  16.38  17.51  72    69    19  3.1
  3  4622 J5  1376  3514 J6  2188  2254 J5   384  9135 16545  5.4  4.8  2.15  0.28  23.18  16.55  19.62  20.60  72    28    75  3.5
  4  5522 J5  1210  3585 J6  1767  2845 J5   443 10398 17372  5.4  4.8  2.52  0.30  27.54  20.18  23.51  24.90  67     2   168  3.8
  5  6412 J5  1057  4621 J6  2132  2945 J5   639 11124 18024  4.1  3.8  2.66  0.32  29.03  22.32  25.42  26.30  65     0   228  3.5
  6  6064 J5  1138  3620 J6  1589  3249 J5   416 11358 18305  6.1  4.8  4.57  0.33  31.14  25.19  27.82  28.65  70     0   295  3.4
  7  6795 J5   672  4986 J6  1630  2976 J5   726 11179 18056  3.9  2.9  4.00  0.33  32.01  25.68  28.41  29.26  73     0   326  2.6
  8  5589 J5  1109  3579 J6  1637  2917 J5   440 10559 17394  6.4  4.6  4.65  0.31  31.96  25.93  28.34  29.25  78     0   329  3.0
  9  5223 J5   959  3988 J6  1825  2441 J5   546  9465 16583  5.9  4.5  4.42  0.27  29.68  24.49  26.69  27.56  81     0   263  3.2
 10  4081 J5  1031  3583 J6  1858  1915 J5   360  8009 15743  5.1  4.3  2.95  0.22  27.60  20.97  23.89  25.11  73     0   185  4.2
 11  3031 J5   988  2874 J6  2063  1500 J5   307  6620 15004  6.1  5.3  3.24  0.17  24.83  18.65  21.38  22.44  76    17   120  4.2
 12  2955 J5   707  3500 J6  1730  1261 J5   265  5933 14649  5.1  4.6  2.34  0.14  22.67  15.71  18.69  19.97  77    26    53  2.7
 13  4687 J5  1452  3519 J6   831  2315 J5   677  8976 16522  5.5  4.7  3.18  0.27  26.58  20.02  22.92  23.97  73   248  2073  3.4
 1993
  1  2666 J5  1015  2388 J6  2078  1445 J5   309  6357 14939  6.7  6.0  3.01  0.12  23.21  17.22  19.84  21.04  78    16    74  3.5
  2  3703 J5  1390  3851 J6  2564  1522 J5   335  7616 15682  5.2  4.6  2.03  0.12  20.60  13.52  16.77  18.04  70    46    11  4.0
  3  4598 J5  1547  4139 J6  2802  1905 J5   526  9127 16542  5.7  4.8  2.30  0.14  22.99  15.26  18.69  19.98  74    31    56  4.1
  4  5947 J5  1286  5175 J6  2418  2309 J5   599 10394 17373  4.3  3.8  2.06  0.18  25.93  18.10  21.64  23.13  62     1   112  4.1
  5  6125 J5  1422  4538 J6  2286  2726 J5   479 11124 18026  5.3  4.9  3.12  0.22  30.34  22.38  25.84  27.19  64     0   249  3.7
  6  6583 J5  1094  5048 J6  2222  2769 J5   645 11359 18308  4.8  4.2  4.07  0.24  33.29  25.86  28.98  30.18  67     0   337  3.7
  7  6050 J5   947  3931 J6  1554  3047 J5   536 11181 18060  6.0  4.7  4.84  0.25  32.98  26.08  28.97  29.94  72     0   347  3.1
  8  6185 J5   993  4942 J6  1817  2561 J5   493 10563 17394  5.2  3.8  4.66  0.24  33.52  26.77  29.62  30.72  69     0   366  3.5
  9  5489 J5   830  4708 J6  1942  2262 J5   618  9472 16580  4.9  3.7  4.75  0.21  32.56  26.30  28.98  30.27  70     0   333  3.5
 10  4000 J5  1219  3486 J6  2438  1862 J5   427  8018 15747  5.7  4.9  4.00  0.16  29.22  22.98  25.77  26.92  74     2   243  3.8
 11  3589 J5  1018  4530 J6  2326  1241 J5   313  6627 15004  4.7  4.0  3.07  0.12  25.34  18.53  21.60  22.70  74     8   117  4.0
 12  3082 J5   717  3858 J6  2087  1252 J5   349  5934 14644  5.1  4.3  2.16  0.09  20.75  13.17  16.48  17.82  69    65    22  3.8
 13  4835 J5  1383  4216 J6   786  2075 J5   627  8981 16525  5.3  4.5  3.34  0.18  27.56  20.52  23.60  24.83  70   169  2267  3.7
 1994
  1  2917 J5  1120  3293 J6  2612  1277 J5   358  6350 14934  6.5  5.6  2.41  0.08  20.75  13.17  16.67  17.99  76    64    22  4.0
  2  3596 J5  1082  3509 J6  2363  1547 J5   442  7603 15671  6.7  5.9  2.71  0.09  24.43  16.83  19.90  21.36  73    19    83  4.2
  3  5228 J5  1051  5416 J6  2488  1749 J5   603  9114 16533  4.8  4.0  2.44  0.11  25.26  17.34  21.02  22.33  71     9   102  4.2
  4  5860 J5  1229  5216 J6  2366  2159 J5   542 10385 17362  5.1  4.5  3.26  0.15  28.81  21.65  24.62  26.10  73     0   207  4.4
  5  6405 J5  1234  5173 J6  2472  2575 J5   714 11119 18020  4.1  3.7  3.36  0.19  30.38  23.53  26.44  27.58  70     0   267  3.8
  6  5972 J5  1513  4196 J6  2321  2797 J5   494 11358 18305  6.7  5.4  4.76  0.22  32.05  26.12  28.57  29.56  73     0   323  3.7
  7  6063 J5  1013  4064 J6  1826  2942 J5   537 11184 18063  6.8  5.1  4.77  0.23  32.03  26.10  28.42  29.24  74     0   333  3.7
  8  5733 J5  1037  4077 J6  1781  2674 J5   510 10570 17399  6.3  5.1  4.66  0.22  31.60  25.63  28.01  28.97  77     0   319  4.0
  9  4678 J5  1145  3125 J6  1783  2495 J5   398  9484 16590  7.1  5.7  4.73  0.19  30.55  25.23  27.40  28.26  79     0   287  4.9
 10  4282 J5   966  4191 J6  2107  1795 J5   433  8031 15756  5.1  3.9  3.68  0.15  28.80  23.14  25.54  26.56  80     0   237  4.9
 11  3545 J5   877  4247 J6  2030  1340 J5   368  6637 15011  4.6  4.0  2.87  0.11  26.98  20.44  23.50  24.64  82     0   162  4.9
 12  2797 J5   906  3257 J6  2415  1238 J5   365  5935 14648  5.7  5.4  2.50  0.08  22.86  16.67  19.26  20.36  86    20    65  4.2
 13  4756 J5  1299  4147 J6   787  2049 J5   632  8981 16524  5.8  4.9  3.51  0.15  27.87  21.32  24.11  25.25  76   113  2405  4.2
 1995
  1  3180 J5  1068  4047 J6  2741  1219 J5   374  6342 14930  5.7  4.5  2.08  0.07  19.79  13.45  16.31  17.49  77    67    14  4.1
  2  4094 J5  1197  4825 J6  2954  1403 J5   535  7590 15665  4.7  4.3  2.17  0.08  21.34  13.75  17.16  18.56  74    56    34  4.2
  3  4894 J5  1316  4626 J6  2534  1883 J5   439  9101 16526  5.6  4.8  2.49  0.11  25.19  17.49  21.12  22.36  79     7   100  4.7
