722106 FORT MYERS PAGE FIELD  FL  -5  N26 35  W081 52     5  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3628 K5   343  4847 K6  1080  1233 K5   164  6537 15042  3.9  3.6  2.31  0.08  23.45  12.45  17.63  20.11  74    59    48  3.3
  2  4500 K5   372  5359 K6   995  1459 K5   201  7766 15736  3.8  3.5  2.34  0.09  24.56  13.41  18.67  21.15  73    36    54  3.5
  3  5419 K5   358  5551 K6   814  1843 K5   168  9229 16545  3.7  3.4  2.44  0.12  26.47  15.46  20.73  22.78  71    16    98  3.7
  4  6288 K5   485  5775 K6   975  2189 K5   224 10431 17319  3.3  3.0  2.68  0.16  28.61  17.75  22.97  25.06  69     1   147  3.6
  5  6545 K5   358  5388 K6   655  2540 K5   187 11104 17927  3.3  3.0  3.34  0.19  31.40  20.72  25.76  27.48  70     0   240  3.2
  6  5930 K5   450  4263 K6   794  2701 K5   262 11313 18190  4.4  3.7  4.52  0.22  32.41  23.22  27.11  28.62  77     0   285  2.8
  7  5694 K5   269  3865 K6   438  2735 K5   244 11151 17955  4.1  3.5  4.71  0.24  32.63  23.91  27.56  28.96  78     0   308  2.4
  8  5488 K5   237  3997 K6   484  2510 K5   264 10584 17332  4.0  3.4  4.87  0.22  32.68  24.12  27.61  29.26  79     0   312  2.5
  9  4835 K5   287  3711 K6   597  2296 K5   212  9559 16573  4.3  3.7  4.74  0.20  31.86  23.70  27.00  28.76  80     0   283  2.8
 10  4464 K5   359  4406 K6   812  1816 K5   130  8164 15792  3.7  3.3  3.73  0.15  29.91  20.78  24.87  26.93  76     1   218  3.2
 11  3800 K5   360  4605 K6   974  1383 K5   149  6812 15104  3.5  3.2  2.77  0.12  26.76  16.53  21.24  23.41  75    10   110  3.3
 12  3324 K5   263  4400 K6   834  1211 K5   140  6131 14769  4.0  3.7  2.49  0.09  24.17  13.70  18.56  21.05  75    43    62  3.2
 13  4993 K5   204  4681 K6   595  1993 K5   166  9065 16524  3.8  3.4  3.41  0.16  28.74  18.81  23.31  25.30  75   167  2165  3.1
 1991
