722108 SOUTHWEST FLORIDA I    FL  -5  N26 32  W081 45     9  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3583 K6   361  4734 K7  1104  1259 K6   166  6545 15045  4.0  3.8  2.31  0.08  23.36  11.73  17.18  19.89  76    67    43  3.5
  2  4420 K6   396  5189 K7  1009  1499 K6   194  7772 15738  3.9  3.7  2.34  0.09  24.57  12.63  18.25  20.97  74    41    49  3.6
  3  5315 K6   383  5352 K7   836  1896 K6   183  9234 16545  3.9  3.6  2.44  0.12  26.47  14.55  20.28  22.74  72    19    87  3.8
  4  6140 K6   601  5525 K7  1070  2240 K6   177 10432 17316  3.5  3.3  2.68  0.16  28.57  16.53  22.36  24.87  71     4   131  3.6
  5  6431 K6   478  5256 K7   753  2561 K6   175 11103 17923  3.5  3.1  3.34  0.19  31.19  19.51  25.09  27.19  73     0   218  3.2
  6  5826 K6   491  4095 K7   827  2731 K6   265 11311 18185  4.7  3.9  4.53  0.22  32.26  22.49  26.60  28.26  79     0   271  2.8
  7  5675 K6   458  3902 K7   769  2703 K6   281 11150 17949  4.3  3.7  4.71  0.23  32.65  23.51  27.24  28.74  80     0   302  2.4
  8  5446 K6   461  3976 K7   730  2497 K6   261 10585 17329  4.3  3.5  4.88  0.22  32.70  23.78  27.31  29.04  81     0   307  2.5
  9  4826 K6   457  3754 K7   822  2269 K6   226  9563 16572  4.5  3.8  4.74  0.19  31.79  23.45  26.74  28.55  81     0   279  2.9
 10  4422 K6   407  4334 K7   872  1822 K6   138  8170 15794  3.8  3.4  3.73  0.15  29.83  20.45  24.58  26.73  77     1   212  3.4
 11  3759 K6   387  4519 K7  1021  1389 K6   157  6820 15106  3.5  3.3  2.77  0.12  26.66  16.08  20.89  23.18  76    13   104  3.5
 12  3291 K6   301  4292 K7   907  1240 K6   143  6139 14772  4.1  3.9  2.49  0.09  24.13  13.16  18.17  20.84  77    47    57  3.4
 13  4928 K6   290  4577 K7   670  2009 K6   164  9069 16523  4.0  3.6  3.41  0.16  28.68  18.16  22.89  25.09  76   192  2059  3.2
 1991
  1  3365 J8   933  4080 J8  2381  1304 J8   404  6538 15041  5.0  4.4  2.97  0.07  25.25  15.56  19.94  22.14  82    22    86  3.4
  2  4258 J8  1175  4912 J8  2736  1487 J8   463  7756 15728  4.2  3.7  2.49  0.08  24.53  13.33  18.58  21.24  74    35    52  4.1
  3  4950 J8  1430  4837 J8  2745  1836 J8   487  9212 16528  4.5  4.1  2.57  0.11  26.69  15.25  20.83  23.24  77    17    99  4.1
  4  6080 J8   989  5379 J8  1970  2250 J8   492 10417 17303  4.0  3.5  3.24  0.15  29.79  18.91  23.72  26.09  79     0   181  3.4
  5  6074 J8  1069  4630 J8  2171  2678 J8   662 11096 17914  4.9  4.0  3.88  0.19  31.00  21.04  25.41  27.13  80     0   238  3.0
  6  6092 J8   871  4032 J8  1590  3031 J8   495 11310 18183  5.8  4.5  4.52  0.21  31.88  22.38  26.32  27.98  81     0   264  2.8
  7  5648 J8  1185  3450 J8  1830  3024 J8   458 11155 17954  5.9  4.9  4.71  0.23  32.08  23.32  26.69  28.08  83     0   290  2.3
  8  6041 J8   658  4417 J8  1326  2732 J8   551 10598 17342  4.8  3.6  4.69  0.26  32.62  23.74  27.33  29.17  81     0   305  2.3
  9  5399 J8   666  4084 J8  1483  2561 J8   537  9582 16584  4.6  3.6  4.64  0.27  31.89  22.76  26.38  28.46  81     0   270  2.5
 10  4117 J8   995  3171 J8  1995  2127 J8   462  8193 15810  4.8  4.3  4.00  0.26  29.28  20.12  24.05  26.16  80     0   197  3.1
 11  3270 J8   943  2855 J8  1823  1722 J8   306  6836 15117  4.8  4.2  2.88  0.25  25.28  14.56  19.39  21.68  76    29    76  3.5
