722110 TAMPA INTERNATIONAL AP FL  -5  N27 58  W082 32     6  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3384 K5   311  4459 K6   917  1231 K5   122  6315 14915  5.1  4.5  2.20  0.08  21.00  11.25  15.89  17.95  75    98    29  3.2
  2  4083 K5   354  4788 K6   955  1429 K5   183  7578 15664  5.1  4.5  2.21  0.09  22.01  12.25  16.88  18.93  73    65    32  3.3
  3  5224 K5   429  5383 K6   853  1779 K5   179  9104 16537  4.8  4.2  2.32  0.12  24.37  14.71  19.35  21.18  71    32    70  3.6
  4  6282 K5   438  5860 K6   819  2147 K5   185 10383 17375  4.4  3.8  2.56  0.16  27.09  17.49  22.12  24.03  69     6   125  3.5
  5  6702 K5   341  5767 K6   565  2427 K5   155 11124 18039  4.3  3.7  3.25  0.19  30.40  21.20  25.54  27.06  70     0   232  3.2
  6  6190 K5   396  4729 K6   694  2610 K5   210 11365 18327  5.7  4.9  4.41  0.22  31.72  23.75  27.30  28.60  75     0   282  2.9
  7  5838 K5   395  4219 K6   597  2616 K5   247 11187 18078  6.0  5.0  4.73  0.24  31.96  24.53  27.84  28.97  77     0   307  2.5
  8  5463 K5   347  4084 K6   652  2453 K5   265 10562 17408  6.0  5.0  4.86  0.22  32.01  24.57  27.81  29.17  78     0   309  2.5
  9  4925 K5   341  4020 K6   543  2211 K5   166  9462 16589  5.8  4.9  4.58  0.20  31.36  23.66  26.97  28.62  77     0   275  2.8
 10  4397 K5   393  4375 K6   825  1801 K5   142  7998 15743  4.7  4.1  3.49  0.15  28.79  20.11  24.05  25.93  74     3   192  3.0
 11  3654 K5   288  4472 K6   804  1347 K5   135  6600 14993  4.4  3.9  2.58  0.12  25.08  15.52  20.02  22.08  73    23    82  3.1
 12  3122 K5   292  4209 K6   857  1162 K5   135  5901 14626  5.1  4.5  2.33  0.09  21.91  12.40  16.92  18.98  75    78    41  3.0
 13  4939 K5   179  4697 K6   485  1934 K5   139  8965 16524  5.1  4.4  3.29  0.16  27.31  18.45  22.56  24.29  74   306  1977  3.0
 1991
  1  2906 I5   864  3201 I6  1930  1328 I5   239  6309 14909  6.4  5.7  2.73  0.07  23.80  14.44  18.67  20.64  82    43    68  3.8
  2  3994 I5  1324  4776 I6  2966  1338 I5   366  7561 15651  5.0  4.3  2.38  0.08  23.12  12.62  17.66  20.02  70    49    36  3.8
  3  4726 I5  1843  4772 I6  3313  1646 I5   482  9081 16521  5.3  4.4  2.44  0.11  24.68  15.72  19.91  21.59  78    26    84  4.1
  4  6228 I5   944  5690 I6  1931  2185 I5   491 10367 17363  4.7  3.6  3.06  0.15  29.70  19.85  24.43  26.39  74     0   193  3.8
  5  6012 I5  1321  4539 I6  2224  2610 I5   472 11116 18029  5.6  4.7  3.90  0.19  31.71  22.64  26.52  27.91  76     0   274  3.2
  6  6437 I5   896  4839 I6  1859  2860 I5   540 11365 18325  5.4  3.9  4.40  0.21  31.54  22.76  26.97  28.45  76     0   265  2.9
  7  5500 I5  1323  3423 I6  1912  2936 I5   490 11193 18087  6.4  4.8  4.70  0.23  31.57  24.07  27.41  28.55  80     0   294  2.6
  8  5644 I5  1131  3951 I6  1892  2764 I5   540 10576 17420  5.6  4.1  4.63  0.26  32.40  24.19  27.73  29.33  80     0   309  2.6
  9  5463 I5   617  4310 I6  1371  2469 I5   492  9483 16602  4.1  2.9  4.33  0.27  32.35  22.37  26.79  28.99  78     0   271  3.2
 10  4216 I5   787  3281 I6  1823  2202 I5   470  8021 15760  4.8  3.8  3.42  0.26  28.92  18.79  23.32  25.61  76     0   171  3.4
 11  3313 I5   852  3102 I6  1958  1665 I5   389  6618 15003  5.2  4.0  2.55  0.25  23.96  13.30  18.09  20.46  74    55    64  3.7
 12  2964 I5   536  2832 I6  1418  1545 I5   257  5904 14628  5.0  3.9  2.64  0.25  23.32  12.71  17.71  20.22  77    56    46  3.3
 13  4784 I5  1279  4060 I6   892  2129 I5   603  8966 16525  5.3  4.2  3.43  0.19  28.09  18.62  22.93  24.85  77   229  2075  3.4
 1992
  1  2792 I5   818  2258 I6  1506  1604 I5   254  6301 14906  6.2  5.0  2.36  0.26  20.29  10.45  15.22  17.26  73   102    11  3.6
  2  3552 I5   878  2572 I6  1702  1978 I5   389  7574 15660  6.6  5.4  2.36  0.27  22.12  12.80  17.05  19.19  77    53    28  3.6
  3  4996 I5  1152  3915 I6  1962  2340 I5   518  9117 16542  5.1  3.9  2.15  0.28  23.34  12.88  17.98  20.03  74    40    33  3.6
  4  5525 I5  1384  3780 I6  2083  2763 I5   517 10391 17377  5.3  4.3  2.53  0.30  25.57  15.76  20.51  22.48  73    19    89  3.6
  5  6693 I5   816  5049 I6  1540  2876 I5   520 11126 18040  3.2  2.4  2.68  0.32  29.13  17.77  23.48  25.49  71     3   161  3.6
  6  5911 I5  1278  3491 I6  1701  3213 I5   524 11365 18325  5.6  4.5  4.57  0.33  31.63  23.57  27.31  28.59  79     0   278  3.3
  7  6844 I5   578  5305 I6  1493  2782 I5   590 11184 18072  3.6  2.6  4.01  0.33  33.37  24.03  28.28  29.99  75     0   321  2.6
  8  5337 I5  1087  3139 I6  1560  2991 I5   503 10555 17403  6.4  4.5  4.65  0.31  31.98  23.59  27.11  28.66  79     0   293  2.8
  9  5290 I5   538  3963 I6  1152  2541 I5   391  9451 16585  5.6  3.8  4.42  0.27  32.20  22.97  26.78  28.88  79     0   278  2.9
 10  4318 I5   986  4019 I6  2250  1887 I5   508  7985 15739  4.9  3.9  2.97  0.22  27.36  17.68  22.18  24.40  77     0   130  3.4
 11  3136 I5   921  3024 I6  1854  1517 I5   266  6590 14991  6.3  5.2  3.24  0.17  25.09  16.83  20.53  22.19  77    34   113  4.1
